id,target,epsilon,delta,tempo_inicio,tempo_fim,prediction
4,0,0.4,0.01,Sun Jul 25 20:13:43 -03 2021,Sun Jul 25 20:13:45 -03 2021,1609541
9,0,0.2,0.01,Sun Jul 25 20:13:46 -03 2021,Sun Jul 25 20:13:48 -03 2021,1356067
11,7,0.4,0.1,Sun Jul 25 20:13:49 -03 2021,Sun Jul 25 20:13:50 -03 2021,245132
9,8,0.4,0.1,Sun Jul 25 20:13:51 -03 2021,Sun Jul 25 20:13:52 -03 2021,87
10,8,0.3,0.1,Sun Jul 25 20:13:53 -03 2021,Sun Jul 25 20:13:55 -03 2021,63
11,8,0.2,0.01,Sun Jul 25 20:13:56 -03 2021,Sun Jul 25 20:13:57 -03 2021,84
18,1,0.3,0.05,Sun Jul 25 20:13:58 -03 2021,Sun Jul 25 20:13:59 -03 2021,5093
1,0,0.2,0.05,Sun Jul 25 20:14:00 -03 2021,Sun Jul 25 20:14:02 -03 2021,1240443
17,0,0.2,0.1,Sun Jul 25 20:14:03 -03 2021,Sun Jul 25 20:14:04 -03 2021,1436333
13,0,0.2,0.1,Sun Jul 25 20:14:05 -03 2021,Sun Jul 25 20:14:06 -03 2021,1307124
10,1,0.1,0.05,Sun Jul 25 20:14:07 -03 2021,Sun Jul 25 20:14:09 -03 2021,6265
4,7,0.1,0.01,Sun Jul 25 20:14:10 -03 2021,Sun Jul 25 20:14:11 -03 2021,242626
13,0,0.4,0.1,Sun Jul 25 20:14:12 -03 2021,Sun Jul 25 20:14:14 -03 2021,1758880
3,7,0.1,0.01,Sun Jul 25 20:14:15 -03 2021,Sun Jul 25 20:14:16 -03 2021,224550
10,8,0.2,0.1,Sun Jul 25 20:14:17 -03 2021,Sun Jul 25 20:14:19 -03 2021,82
8,7,0.3,0.01,Sun Jul 25 20:14:20 -03 2021,Sun Jul 25 20:14:21 -03 2021,251582
16,1,0.1,0.1,Sun Jul 25 20:14:22 -03 2021,Sun Jul 25 20:14:24 -03 2021,6033
1,8,0.3,0.01,Sun Jul 25 20:14:25 -03 2021,Sun Jul 25 20:14:26 -03 2021,68
15,7,0.3,0.1,Sun Jul 25 20:14:27 -03 2021,Sun Jul 25 20:14:29 -03 2021,383286
17,1,0.2,0.1,Sun Jul 25 20:14:30 -03 2021,Sun Jul 25 20:14:31 -03 2021,6175
0,8,0.2,0.05,Sun Jul 25 20:14:32 -03 2021,Sun Jul 25 20:14:33 -03 2021,85
12,0,0.2,0.1,Sun Jul 25 20:14:34 -03 2021,Sun Jul 25 20:14:35 -03 2021,1618092
7,8,0.2,0.01,Sun Jul 25 20:14:36 -03 2021,Sun Jul 25 20:14:38 -03 2021,80
2,7,0.3,0.01,Sun Jul 25 20:14:39 -03 2021,Sun Jul 25 20:14:41 -03 2021,281607
10,7,0.4,0.01,Sun Jul 25 20:14:42 -03 2021,Sun Jul 25 20:14:43 -03 2021,222151
15,8,0.1,0.05,Sun Jul 25 20:14:44 -03 2021,Sun Jul 25 20:14:46 -03 2021,73
2,8,0.3,0.01,Sun Jul 25 20:14:47 -03 2021,Sun Jul 25 20:14:48 -03 2021,91
12,8,0.1,0.05,Sun Jul 25 20:14:49 -03 2021,Sun Jul 25 20:14:51 -03 2021,75
7,8,0.3,0.1,Sun Jul 25 20:14:52 -03 2021,Sun Jul 25 20:14:53 -03 2021,91
11,1,0.3,0.05,Sun Jul 25 20:14:54 -03 2021,Sun Jul 25 20:14:55 -03 2021,6271
18,7,0.2,0.01,Sun Jul 25 20:14:56 -03 2021,Sun Jul 25 20:14:58 -03 2021,249576
10,0,0.2,0.05,Sun Jul 25 20:14:59 -03 2021,Sun Jul 25 20:15:00 -03 2021,1351176
14,1,0.1,0.05,Sun Jul 25 20:15:01 -03 2021,Sun Jul 25 20:15:02 -03 2021,6366
10,7,0.3,0.01,Sun Jul 25 20:15:03 -03 2021,Sun Jul 25 20:15:05 -03 2021,206595
13,7,0.1,0.1,Sun Jul 25 20:15:06 -03 2021,Sun Jul 25 20:15:07 -03 2021,219214
17,8,0.2,0.1,Sun Jul 25 20:15:08 -03 2021,Sun Jul 25 20:15:10 -03 2021,80
8,0,0.2,0.1,Sun Jul 25 20:15:11 -03 2021,Sun Jul 25 20:15:12 -03 2021,1445687
13,8,0.1,0.1,Sun Jul 25 20:15:13 -03 2021,Sun Jul 25 20:15:14 -03 2021,75
10,0,0.1,0.01,Sun Jul 25 20:15:15 -03 2021,Sun Jul 25 20:15:17 -03 2021,1469492
17,8,0.1,0.05,Sun Jul 25 20:15:18 -03 2021,Sun Jul 25 20:15:19 -03 2021,77
11,0,0.4,0.1,Sun Jul 25 20:15:20 -03 2021,Sun Jul 25 20:15:22 -03 2021,1551012
11,7,0.4,0.01,Sun Jul 25 20:15:23 -03 2021,Sun Jul 25 20:15:24 -03 2021,263290
6,7,0.4,0.01,Sun Jul 25 20:15:25 -03 2021,Sun Jul 25 20:15:27 -03 2021,186461
17,1,0.1,0.1,Sun Jul 25 20:15:28 -03 2021,Sun Jul 25 20:15:29 -03 2021,6605
7,8,0.3,0.01,Sun Jul 25 20:15:30 -03 2021,Sun Jul 25 20:15:32 -03 2021,71
2,8,0.4,0.01,Sun Jul 25 20:15:33 -03 2021,Sun Jul 25 20:15:35 -03 2021,92
9,1,0.3,0.1,Sun Jul 25 20:15:36 -03 2021,Sun Jul 25 20:15:37 -03 2021,6236
8,7,0.1,0.05,Sun Jul 25 20:15:38 -03 2021,Sun Jul 25 20:15:39 -03 2021,221259
1,1,0.1,0.1,Sun Jul 25 20:15:40 -03 2021,Sun Jul 25 20:15:41 -03 2021,6431
15,0,0.2,0.05,Sun Jul 25 20:15:42 -03 2021,Sun Jul 25 20:15:44 -03 2021,1354229
12,0,0.4,0.01,Sun Jul 25 20:15:45 -03 2021,Sun Jul 25 20:15:46 -03 2021,1311764
3,1,0.2,0.1,Sun Jul 25 20:15:47 -03 2021,Sun Jul 25 20:15:49 -03 2021,6365
7,0,0.1,0.1,Sun Jul 25 20:15:50 -03 2021,Sun Jul 25 20:15:51 -03 2021,1544818
4,8,0.4,0.01,Sun Jul 25 20:15:52 -03 2021,Sun Jul 25 20:15:54 -03 2021,93
13,7,0.1,0.01,Sun Jul 25 20:15:55 -03 2021,Sun Jul 25 20:15:56 -03 2021,228127
13,0,0.2,0.01,Sun Jul 25 20:15:57 -03 2021,Sun Jul 25 20:15:59 -03 2021,1496958
7,7,0.3,0.05,Sun Jul 25 20:16:00 -03 2021,Sun Jul 25 20:16:01 -03 2021,222156
19,7,0.2,0.01,Sun Jul 25 20:16:02 -03 2021,Sun Jul 25 20:16:04 -03 2021,207600
17,1,0.3,0.1,Sun Jul 25 20:16:05 -03 2021,Sun Jul 25 20:16:06 -03 2021,6299
3,7,0.4,0.1,Sun Jul 25 20:16:07 -03 2021,Sun Jul 25 20:16:09 -03 2021,176252
19,1,0.3,0.05,Sun Jul 25 20:16:10 -03 2021,Sun Jul 25 20:16:11 -03 2021,6765
7,7,0.2,0.1,Sun Jul 25 20:16:12 -03 2021,Sun Jul 25 20:16:13 -03 2021,250662
5,0,0.3,0.05,Sun Jul 25 20:16:14 -03 2021,Sun Jul 25 20:16:15 -03 2021,1261844
6,7,0.3,0.05,Sun Jul 25 20:16:16 -03 2021,Sun Jul 25 20:16:18 -03 2021,230777
4,0,0.3,0.05,Sun Jul 25 20:16:19 -03 2021,Sun Jul 25 20:16:20 -03 2021,1971631
17,1,0.1,0.01,Sun Jul 25 20:16:21 -03 2021,Sun Jul 25 20:16:23 -03 2021,6680
15,0,0.3,0.05,Sun Jul 25 20:16:24 -03 2021,Sun Jul 25 20:16:25 -03 2021,1474716
17,7,0.3,0.01,Sun Jul 25 20:16:26 -03 2021,Sun Jul 25 20:16:28 -03 2021,242501
8,1,0.3,0.05,Sun Jul 25 20:16:29 -03 2021,Sun Jul 25 20:16:30 -03 2021,6592
0,0,0.1,0.01,Sun Jul 25 20:16:31 -03 2021,Sun Jul 25 20:16:33 -03 2021,1659650
3,8,0.3,0.01,Sun Jul 25 20:16:34 -03 2021,Sun Jul 25 20:16:35 -03 2021,77
0,0,0.4,0.01,Sun Jul 25 20:16:36 -03 2021,Sun Jul 25 20:16:38 -03 2021,1640494
18,0,0.4,0.05,Sun Jul 25 20:16:39 -03 2021,Sun Jul 25 20:16:40 -03 2021,1579735
5,7,0.1,0.01,Sun Jul 25 20:16:42 -03 2021,Sun Jul 25 20:16:43 -03 2021,206456
8,0,0.2,0.05,Sun Jul 25 20:16:44 -03 2021,Sun Jul 25 20:16:45 -03 2021,1509018
16,1,0.3,0.01,Sun Jul 25 20:16:46 -03 2021,Sun Jul 25 20:16:48 -03 2021,5986
9,1,0.2,0.1,Sun Jul 25 20:16:49 -03 2021,Sun Jul 25 20:16:50 -03 2021,4870
10,0,0.1,0.1,Sun Jul 25 20:16:52 -03 2021,Sun Jul 25 20:16:53 -03 2021,1543654
2,0,0.1,0.1,Sun Jul 25 20:16:54 -03 2021,Sun Jul 25 20:16:55 -03 2021,1434622
15,0,0.3,0.01,Sun Jul 25 20:16:56 -03 2021,Sun Jul 25 20:16:58 -03 2021,1307316
12,0,0.4,0.05,Sun Jul 25 20:16:59 -03 2021,Sun Jul 25 20:17:00 -03 2021,1640494
2,8,0.4,0.1,Sun Jul 25 20:17:01 -03 2021,Sun Jul 25 20:17:02 -03 2021,166
13,1,0.1,0.1,Sun Jul 25 20:17:03 -03 2021,Sun Jul 25 20:17:05 -03 2021,6498
5,0,0.1,0.05,Sun Jul 25 20:17:06 -03 2021,Sun Jul 25 20:17:07 -03 2021,1368384
18,7,0.4,0.1,Sun Jul 25 20:17:08 -03 2021,Sun Jul 25 20:17:09 -03 2021,148617
9,8,0.3,0.01,Sun Jul 25 20:17:10 -03 2021,Sun Jul 25 20:17:12 -03 2021,66
17,7,0.4,0.1,Sun Jul 25 20:17:13 -03 2021,Sun Jul 25 20:17:14 -03 2021,255407
9,7,0.2,0.01,Sun Jul 25 20:17:15 -03 2021,Sun Jul 25 20:17:17 -03 2021,207888
7,0,0.1,0.05,Sun Jul 25 20:17:18 -03 2021,Sun Jul 25 20:17:19 -03 2021,1623277
12,1,0.2,0.1,Sun Jul 25 20:17:20 -03 2021,Sun Jul 25 20:17:21 -03 2021,6072
6,0,0.1,0.01,Sun Jul 25 20:17:22 -03 2021,Sun Jul 25 20:17:24 -03 2021,1468658
12,1,0.4,0.01,Sun Jul 25 20:17:25 -03 2021,Sun Jul 25 20:17:27 -03 2021,6943
1,0,0.4,0.1,Sun Jul 25 20:17:28 -03 2021,Sun Jul 25 20:17:29 -03 2021,879440
4,8,0.2,0.1,Sun Jul 25 20:17:30 -03 2021,Sun Jul 25 20:17:32 -03 2021,53
6,0,0.1,0.05,Sun Jul 25 20:17:33 -03 2021,Sun Jul 25 20:17:34 -03 2021,1647772
14,1,0.1,0.01,Sun Jul 25 20:17:35 -03 2021,Sun Jul 25 20:17:37 -03 2021,6803
1,1,0.4,0.05,Sun Jul 25 20:17:38 -03 2021,Sun Jul 25 20:17:39 -03 2021,4273
2,7,0.1,0.1,Sun Jul 25 20:17:40 -03 2021,Sun Jul 25 20:17:41 -03 2021,213101
18,0,0.1,0.01,Sun Jul 25 20:17:42 -03 2021,Sun Jul 25 20:17:44 -03 2021,1494785
14,7,0.3,0.05,Sun Jul 25 20:17:45 -03 2021,Sun Jul 25 20:17:46 -03 2021,242825
6,7,0.4,0.05,Sun Jul 25 20:17:47 -03 2021,Sun Jul 25 20:17:48 -03 2021,266581
6,1,0.1,0.1,Sun Jul 25 20:17:49 -03 2021,Sun Jul 25 20:17:51 -03 2021,6662
6,1,0.4,0.01,Sun Jul 25 20:17:52 -03 2021,Sun Jul 25 20:17:53 -03 2021,4114
0,0,0.4,0.1,Sun Jul 25 20:17:54 -03 2021,Sun Jul 25 20:17:56 -03 2021,2132642
19,1,0.1,0.1,Sun Jul 25 20:17:57 -03 2021,Sun Jul 25 20:17:58 -03 2021,6132
6,8,0.2,0.1,Sun Jul 25 20:17:59 -03 2021,Sun Jul 25 20:18:00 -03 2021,88
5,7,0.2,0.1,Sun Jul 25 20:18:01 -03 2021,Sun Jul 25 20:18:02 -03 2021,209399
10,0,0.3,0.01,Sun Jul 25 20:18:03 -03 2021,Sun Jul 25 20:18:05 -03 2021,1295643
14,8,0.2,0.1,Sun Jul 25 20:18:06 -03 2021,Sun Jul 25 20:18:07 -03 2021,82
0,1,0.4,0.1,Sun Jul 25 20:18:08 -03 2021,Sun Jul 25 20:18:10 -03 2021,3086
10,1,0.2,0.1,Sun Jul 25 20:18:11 -03 2021,Sun Jul 25 20:18:12 -03 2021,5044
16,7,0.4,0.05,Sun Jul 25 20:18:13 -03 2021,Sun Jul 25 20:18:14 -03 2021,152332
13,8,0.3,0.05,Sun Jul 25 20:18:15 -03 2021,Sun Jul 25 20:18:16 -03 2021,88
12,7,0.3,0.05,Sun Jul 25 20:18:17 -03 2021,Sun Jul 25 20:18:19 -03 2021,225033
7,7,0.2,0.01,Sun Jul 25 20:18:20 -03 2021,Sun Jul 25 20:18:21 -03 2021,225603
9,8,0.3,0.05,Sun Jul 25 20:18:22 -03 2021,Sun Jul 25 20:18:24 -03 2021,70
2,0,0.2,0.1,Sun Jul 25 20:18:25 -03 2021,Sun Jul 25 20:18:26 -03 2021,1729069
7,1,0.4,0.05,Sun Jul 25 20:18:27 -03 2021,Sun Jul 25 20:18:28 -03 2021,11796
11,0,0.1,0.01,Sun Jul 25 20:18:29 -03 2021,Sun Jul 25 20:18:31 -03 2021,1551639
11,0,0.4,0.05,Sun Jul 25 20:18:32 -03 2021,Sun Jul 25 20:18:33 -03 2021,1392746
0,0,0.1,0.1,Sun Jul 25 20:18:34 -03 2021,Sun Jul 25 20:18:36 -03 2021,1478865
