2,8,0.1,0.1
17,0,0.1,0.1
1,7,0.3,0.05
13,7,0.3,0.1
3,1,0.3,0.05
17,1,0.2,0.01
10,1,0.2,0.05
14,1,0.2,0.05
7,1,0.1,0.01
10,8,0.3,0.01
19,7,0.1,0.05
1,1,0.2,0.1
15,0,0.4,0.05
19,1,0.1,0.05
6,7,0.1,0.05
13,1,0.2,0.01
16,1,0.2,0.01
19,0,0.3,0.1
18,1,0.3,0.01
6,7,0.2,0.01
14,0,0.1,0.1
14,8,0.2,0.01
15,7,0.3,0.05
8,8,0.3,0.01
5,7,0.4,0.1
19,0,0.4,0.01
0,7,0.4,0.01
3,1,0.1,0.01
5,7,0.4,0.05
1,8,0.3,0.05
19,7,0.3,0.01
8,1,0.1,0.05
7,7,0.1,0.01
18,7,0.1,0.01
13,0,0.1,0.05
13,8,0.1,0.01
18,8,0.1,0.05
18,0,0.4,0.1
3,0,0.2,0.1
19,7,0.2,0.05
0,0,0.2,0.01
3,8,0.2,0.1
15,7,0.2,0.01
0,1,0.4,0.05
9,8,0.3,0.1
16,8,0.1,0.01
16,0,0.4,0.1
7,7,0.2,0.05
19,8,0.2,0.05
16,7,0.2,0.1
5,7,0.3,0.01
6,1,0.3,0.1
7,7,0.4,0.05
1,7,0.2,0.01
15,7,0.2,0.1
4,0,0.4,0.01
9,0,0.2,0.01
11,7,0.4,0.1
9,8,0.4,0.1
10,8,0.3,0.1
11,8,0.2,0.01
18,1,0.3,0.05
1,0,0.2,0.05
17,0,0.2,0.1
13,0,0.2,0.1
10,1,0.1,0.05
4,7,0.1,0.01
13,0,0.4,0.1
3,7,0.1,0.01
10,8,0.2,0.1
8,7,0.3,0.01
16,1,0.1,0.1
1,8,0.3,0.01
15,7,0.3,0.1
17,1,0.2,0.1
0,8,0.2,0.05
12,0,0.2,0.1
7,8,0.2,0.01
2,7,0.3,0.01
10,7,0.4,0.01
15,8,0.1,0.05
2,8,0.3,0.01
12,8,0.1,0.05
7,8,0.3,0.1
11,1,0.3,0.05
18,7,0.2,0.01
10,0,0.2,0.05
14,1,0.1,0.05
10,7,0.3,0.01
13,7,0.1,0.1
17,8,0.2,0.1
8,0,0.2,0.1
13,8,0.1,0.1
10,0,0.1,0.01
17,8,0.1,0.05
11,0,0.4,0.1
11,7,0.4,0.01
6,7,0.4,0.01
17,1,0.1,0.1
7,8,0.3,0.01
2,8,0.4,0.01
9,1,0.3,0.1
8,7,0.1,0.05
1,1,0.1,0.1
15,0,0.2,0.05
12,0,0.4,0.01
3,1,0.2,0.1
7,0,0.1,0.1
4,8,0.4,0.01
13,7,0.1,0.01
13,0,0.2,0.01
7,7,0.3,0.05
19,7,0.2,0.01
17,1,0.3,0.1
3,7,0.4,0.1
19,1,0.3,0.05
7,7,0.2,0.1
5,0,0.3,0.05
6,7,0.3,0.05
4,0,0.3,0.05
17,1,0.1,0.01
15,0,0.3,0.05
17,7,0.3,0.01
8,1,0.3,0.05
0,0,0.1,0.01
3,8,0.3,0.01
0,0,0.4,0.01
18,0,0.4,0.05
5,7,0.1,0.01
8,0,0.2,0.05
16,1,0.3,0.01
9,1,0.2,0.1
10,0,0.1,0.1
2,0,0.1,0.1
15,0,0.3,0.01
12,0,0.4,0.05
2,8,0.4,0.1
13,1,0.1,0.1
5,0,0.1,0.05
18,7,0.4,0.1
9,8,0.3,0.01
17,7,0.4,0.1
9,7,0.2,0.01
7,0,0.1,0.05
12,1,0.2,0.1
6,0,0.1,0.01
12,1,0.4,0.01
1,0,0.4,0.1
4,8,0.2,0.1
6,0,0.1,0.05
14,1,0.1,0.01
1,1,0.4,0.05
2,7,0.1,0.1
18,0,0.1,0.01
14,7,0.3,0.05
6,7,0.4,0.05
6,1,0.1,0.1
6,1,0.4,0.01
0,0,0.4,0.1
19,1,0.1,0.1
6,8,0.2,0.1
5,7,0.2,0.1
10,0,0.3,0.01
14,8,0.2,0.1
0,1,0.4,0.1
10,1,0.2,0.1
16,7,0.4,0.05
13,8,0.3,0.05
12,7,0.3,0.05
7,7,0.2,0.01
9,8,0.3,0.05
2,0,0.2,0.1
7,1,0.4,0.05
11,0,0.1,0.01
11,0,0.4,0.05
0,0,0.1,0.1
14,0,0.4,0.05
1,1,0.2,0.05
14,8,0.1,0.01
14,7,0.2,0.1
11,1,0.1,0.05
10,1,0.3,0.01
10,0,0.2,0.1
0,7,0.3,0.01
6,0,0.4,0.1
10,8,0.4,0.01
8,8,0.4,0.1
6,8,0.3,0.01
16,8,0.2,0.01
14,0,0.2,0.05
9,0,0.4,0.01
