id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,weight
6,5,0.1,10000,2499,623757,81094,28603320,0,0,3564911,3575412
1,6,0.01,10000,4999,618795,107563,27125304,0,0,3227578,3390660
9,6,0.1,10000,4999,619319,107067,27125304,0,0,3227578,3390660
7,7,0.1,100000,16666,620290,109047,27368832,0,0,3203628,3421101
9,4,0.05,100000,16666,604453,79618,28617720,0,0,3576197,3577212
6,3,0.1,10000,1249,596722,36768,28618392,0,0,3577296,3577296
1,3,0.05,100000,24999,597823,37789,28618392,0,0,3577296,3577296
6,5,0.2,10000,4999,609965,81239,28603320,0,0,3571916,3575412
3,4,0.01,100000,99999,603432,80413,28617720,0,0,3577212,3577212
5,6,0.05,10000,1249,615629,107126,27125304,0,0,2454402,3390660
0,0,0.2,10000,1666,626103,691,192152,0,0,3957,24016
2,0,0.2,1000000,166666,622581,91186,18716496,0,0,406042,2339559
2,7,0.01,100000,24999,616534,106654,27368832,0,0,3273316,3421101
8,5,0.01,10000,9999,603803,79695,28603320,0,0,3575410,3575412
5,6,0.2,1000000,124999,611562,115247,28412664,0,0,3524788,3551580
4,4,0.2,1000000,249999,601770,79539,28618392,0,0,3577292,3577296
8,6,0.1,100000,16666,613078,114602,28177448,0,0,3452021,3522178
4,5,0.05,10000,1666,606353,79676,28603320,0,0,3556388,3575412
8,5,0.01,100000,49999,603750,81181,28617888,0,0,3577025,3577233
8,6,0.01,1000000,166666,613772,114922,28412664,0,0,3527618,3551580
0,4,0.01,10000,9999,603335,78085,28602776,0,0,3575342,3575344
6,7,0.1,10000,9999,628173,88144,24744088,0,0,3092953,3093008
3,3,0.01,10000,2499,599399,36609,28618392,0,0,3577296,3577296
3,7,0.1,100000,16666,614725,107450,27368832,0,0,3203628,3421101
2,3,0.01,1000000,166666,599138,36910,28618392,0,0,3577296,3577296
1,6,0.05,1000000,999999,613972,115920,28412664,0,0,3551580,3551580
2,3,0.2,10000,1249,595852,36846,28618392,0,0,3577296,3577296
8,3,0.05,100000,12499,599414,37001,28618392,0,0,3577296,3577296
7,4,0.05,10000,9999,608449,78429,28602776,0,0,3575342,3575344
1,3,0.01,10000,4999,612496,36723,28618392,0,0,3577296,3577296
1,5,0.05,100000,49999,610702,81547,28617888,0,0,3577025,3577233
9,6,0.1,1000000,249999,613164,115732,28412664,0,0,3531027,3551580
8,3,0.2,10000,1249,597963,36644,28618392,0,0,3577296,3577296
4,7,0.01,1000000,166666,614448,112201,28248248,0,0,3452916,3531028
9,6,0.05,1000000,499999,614441,115375,28412664,0,0,3539237,3551580
3,6,0.1,10000,1249,614466,105193,27125304,0,0,2454402,3390660
9,3,0.2,1000000,499999,597058,36924,28618392,0,0,3577296,3577296
0,7,0.01,10000,1249,617139,87738,24744088,0,0,2332892,3093008
8,5,0.2,10000,1249,603412,80306,28603320,0,0,3547772,3575412
3,6,0.05,10000,1666,614008,105614,27125304,0,0,2647545,3390660
6,0,0.1,100000,12499,615800,9620,2114328,0,0,29808,264288
2,7,0.1,100000,12499,615182,107811,27368832,0,0,3150124,3421101
3,3,0.01,10000,1666,594891,36505,28618392,0,0,3577296,3577296
6,7,0.05,1000000,499999,612567,112147,28248248,0,0,3505738,3531028
0,4,0.05,100000,12499,601345,79630,28617720,0,0,3575751,3577212
1,0,0.01,10000,2499,614950,694,192152,0,0,5916,24016
4,3,0.1,10000,1249,603091,38636,28618392,0,0,3577296,3577296
0,6,0.05,10000,1249,620615,107140,27125304,0,0,2454402,3390660
6,7,0.01,1000000,124999,617164,113054,28248248,0,0,3435561,3531028
5,6,0.1,1000000,124999,614114,116405,28412664,0,0,3524788,3551580
8,4,0.2,1000000,249999,602618,79347,28618392,0,0,3577292,3577296
9,4,0.01,100000,12499,602809,79165,28617720,0,0,3575751,3577212
7,3,0.2,1000000,499999,595404,36679,28618392,0,0,3577296,3577296
0,6,0.1,10000,2499,613068,106602,27125304,0,0,2899338,3390660
0,5,0.2,10000,9999,605496,80764,28603320,0,0,3575410,3575412
7,0,0.05,1000000,124999,680793,90724,18716496,0,0,315016,2339559
0,4,0.2,1000000,124999,607749,80182,28618392,0,0,3577251,3577296
1,0,0.1,10000,2499,621630,699,192152,0,0,5916,24016
9,3,0.01,1000000,124999,598607,36750,28618392,0,0,3577296,3577296
7,4,0.05,100000,24999,605879,79637,28617720,0,0,3576577,3577212
7,5,0.05,100000,16666,612016,81603,28617888,0,0,3576277,3577233
6,0,0.1,1000000,249999,623283,91239,18716496,0,0,611407,2339559
6,7,0.2,100000,12499,620341,107917,27368832,0,0,3150124,3421101
3,0,0.1,100000,16666,622093,9690,2114328,0,0,50808,264288
5,5,0.05,10000,1249,609337,80678,28603320,0,0,3547772,3575412
1,0,0.2,1000000,166666,628167,92061,18716496,0,0,406042,2339559
3,0,0.05,10000,9999,617410,680,192152,0,0,24013,24016
7,4,0.1,1000000,166666,603510,79523,28618392,0,0,3577276,3577296
9,6,0.01,100000,12499,649402,115455,28177448,0,0,3421797,3522178
3,3,0.1,100000,12499,612056,36994,28618392,0,0,3577296,3577296
2,3,0.1,1000000,124999,599093,37238,28618392,0,0,3577296,3577296
0,6,0.1,10000,9999,614914,105736,27125304,0,0,3390637,3390660
4,6,0.2,10000,4999,612565,107826,27125304,0,0,3227578,3390660
9,3,0.2,10000,1666,609750,37011,28618392,0,0,3577296,3577296
4,5,0.2,100000,99999,612880,80804,28617888,0,0,3577233,3577233
6,0,0.05,1000000,999999,624365,91471,18716496,0,0,2339557,2339559
0,5,0.01,10000,4999,603710,80316,28603320,0,0,3571916,3575412
1,5,0.2,10000,1249,605052,79955,28603320,0,0,3547772,3575412
5,5,0.05,1000000,999999,605383,78112,28618392,0,0,3577296,3577296
8,4,0.05,10000,2499,604289,77781,28602776,0,0,3566981,3575344
0,6,0.2,10000,9999,614347,105950,27125304,0,0,3390637,3390660
4,3,0.1,1000000,249999,596120,36683,28618392,0,0,3577296,3577296
1,0,0.05,10000,1666,616400,700,192152,0,0,3957,24016
8,7,0.01,10000,1666,614334,87318,24744088,0,0,2428904,3093008
4,4,0.1,1000000,499999,603994,79945,28618392,0,0,3577296,3577296
3,6,0.2,1000000,999999,615975,116753,28412664,0,0,3551580,3551580
0,0,0.2,1000000,166666,623468,91246,18716496,0,0,406042,2339559
6,0,0.2,10000,1666,622447,697,192152,0,0,3957,24016
9,6,0.01,1000000,249999,626457,116493,28412664,0,0,3531027,3551580
0,4,0.1,10000,9999,606562,79257,28602776,0,0,3575342,3575344
0,7,0.1,100000,12499,618874,106639,27368832,0,0,3150124,3421101
9,6,0.2,10000,2499,617616,107216,27125304,0,0,2899338,3390660
8,4,0.1,100000,99999,614227,80533,28617720,0,0,3577212,3577212
6,3,0.2,1000000,166666,605656,36879,28618392,0,0,3577296,3577296
7,7,0.05,1000000,249999,616809,112677,28248248,0,0,3474855,3531028
0,3,0.05,100000,49999,602268,37872,28618392,0,0,3577296,3577296
