id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
1,0,0.2,1000000,166666,7741360,0,168,1224979,23,374826
7,0,0.05,1000000,124999,8571134,1,408,1241820,23,252671
4,6,0.2,10000,4999,7437558,1,168,56,22,3018440
7,5,0.05,100000,16666,8404637,1,840,451585,23,3450329
0,6,0.1,10000,9999,7918072,1,216,20351,23,3108631
1,5,0.2,10000,1249,7427509,1,312,316,23,2946016
9,3,0.2,1000000,499999,10541207,1,1080,2152038,23,3577295
0,6,0.2,10000,9999,7764536,1,168,56,22,3018440
5,5,0.05,10000,1249,9058363,1,840,451213,23,3449418
8,3,0.2,10000,1249,11421805,1,1080,2152038,23,3577295
6,7,0.05,1000000,499999,10680057,1,1704,832354,23,3444127
7,4,0.05,100000,24999,9555410,0,984,521997,23,3493242
6,0,0.05,1000000,999999,8639888,0,408,1241820,23,2244745
9,3,0.1,1000000,166666,15095658,1,2112,2861767,23,3577295
3,6,0.2,1000000,999999,7970090,0,168,33,21,3551579
1,0,0.05,10000,1666,8232208,0,432,13317,23,3774
8,4,0.1,100000,99999,7479137,1,648,46973,23,3577211
4,4,0.1,1000000,499999,8298969,1,624,46957,23,3577295
9,6,0.2,10000,2499,7933668,0,168,56,22,3018440
0,4,0.1,10000,9999,8166286,0,600,47274,23,3268279
5,5,0.05,1000000,999999,9141776,0,840,458984,23,3577295
0,0,0.2,1000000,166666,8532983,0,168,1224979,23,374826
6,0,0.1,100000,16666,7373332,0,984,122827,23,25659
6,0,0.2,10000,1666,8508196,0,168,13283,23,3832
5,4,0.1,100000,99999,7531584,1,648,46973,23,3577211
5,0,0.2,100000,16666,7843899,0,456,122135,23,41697
3,0,0.1,10000,1249,7835731,1,240,13290,23,1976
7,3,0.2,1000000,499999,12122642,0,1080,2152038,23,3577295
8,4,0.05,10000,2499,10701559,0,984,523495,23,3485855
0,7,0.1,100000,12499,9826109,1,768,499182,23,3092457
8,5,0.1,100000,12499,8209321,1,240,16402,23,3268954
3,6,0.05,100000,24999,8919600,0,480,234314,23,3400742
6,3,0.1,10000,1249,16152674,1,2112,2861767,23,3577295
8,0,0.2,1000000,124999,8504867,0,168,1224979,23,374826
2,5,0.2,100000,99999,8996459,1,288,277,23,3577232
4,5,0.05,100000,24999,9691106,0,840,451585,23,3450329
8,6,0.2,100000,16666,7962893,1,168,52,22,3023632
8,4,0.05,1000000,166666,10773169,1,960,520169,23,3493284
5,7,0.2,100000,24999,9130828,0,216,9352,23,2953678
3,4,0.1,1000000,124999,8865668,0,624,46957,23,3269255
1,4,0.2,1000000,124999,9441132,1,144,50,22,2866659
5,4,0.1,1000000,249999,8133162,1,624,46957,23,3269255
2,0,0.01,10000,2499,8313540,1,1872,13613,23,5977
6,0,0.2,1000000,249999,9882636,0,168,1224979,23,374826
5,6,0.1,1000000,166666,8225172,0,240,19941,23,3360932
