id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
1,3,0.1,10000,1666,49195032,3,192,20046,0,2706773160
5,3,0.05,1000000,999999,51153898,2,240,8946,0,3776589077
3,3,0.05,10000,9999,49074148,2,192,12780,0,4279659312
5,3,0.1,100000,99999,50973356,3,216,18629,0,409256
9,0,0.01,10000,4999,48891689,22,37856,17,0,379416033
8,0,0.01,10000,2499,48959863,25,37856,17,0,1649755162
1,0,0.2,10000,2499,39233482,8,16328,343,0,379502619
4,3,0.01,10000,2499,50124951,3,192,2281,0,3418138
6,0,0.2,10000,2499,37689366,11,16328,343,0,379502619
6,0,0.05,10000,4999,40076721,17,19208,85,0,3023121966
9,3,0.1,1000000,499999,54291176,3,232,10519,0,1131722
0,0,0.1,10000,9999,40141017,15,16616,171,0,2097193400
5,3,0.01,100000,12499,54196147,3,216,2105,0,724711403
5,3,0.05,1000000,499999,55542447,3,240,8946,0,3776580134
4,0,0.2,10000,2499,39904750,8,16328,343,0,379502619
4,3,0.01,1000000,166666,55742595,3,240,1789,0,3033670193
3,3,0.2,100000,99999,53745054,3,200,16939,0,1877615
9,3,0.01,100000,16666,54676476,2,216,2105,0,3781457879
9,3,0.05,1000000,999999,55963195,3,240,8946,0,3776589077
3,3,0.05,100000,99999,55899044,3,216,7702,0,4419997
0,3,0.01,100000,12499,55805287,3,216,2105,0,724711403
4,3,0.1,100000,16666,56446456,3,216,18629,0,372010
0,3,0.01,10000,9999,54191968,2,192,2281,0,3422698
1,3,0.05,1000000,499999,57772550,2,240,8946,0,3776580134
0,0,0.2,10000,1249,40887059,6,16328,343,0,3177475371
2,3,0.01,10000,1249,59408921,2,192,2281,0,3415858
8,3,0.01,10000,1249,54180608,2,192,2281,0,3415858
0,3,0.1,10000,1249,54654868,3,192,20046,0,2706773160
6,3,0.2,10000,9999,54920497,3,192,17761,0,1384787
4,3,0.2,1000000,166666,56961688,3,224,17931,0,3262084419
3,3,0.1,10000,2499,59685414,3,192,20046,0,640115914
9,3,0.01,100000,24999,56633674,2,216,2105,0,3781457879
4,3,0.05,100000,16666,58671885,2,216,7702,0,4404597
6,3,0.01,1000000,999999,58428175,3,240,1789,0,3033673769
8,3,0.1,1000000,999999,59540625,2,232,10519,0,1142239
5,0,0.1,10000,1249,42737457,6,16616,171,0,1102736965
5,3,0.2,1000000,166666,59271784,2,224,17931,0,3262084419
6,3,0.2,10000,4999,56972226,3,192,17761,0,1367028
5,3,0.2,100000,49999,60178138,2,200,16939,0,1860678
2,3,0.2,10000,1666,57572658,3,192,17761,0,4022076665
4,3,0.2,10000,1249,56923372,2,192,17761,0,4022076665
3,3,0.2,1000000,166666,59614188,3,224,17931,0,3262084419
6,0,0.1,10000,1666,44222932,6,16616,171,0,3562688962
6,3,0.01,1000000,249999,65408189,3,240,1789,0,3033670193
4,3,0.01,10000,1666,58974241,2,192,2281,0,3415858
1,0,0.01,10000,9999,55857157,27,37856,17,0,2779732145
8,3,0.05,100000,49999,60141347,2,216,7702,0,4412297
0,3,0.2,100000,99999,58227067,3,200,16939,0,1877615
3,3,0.01,1000000,124999,62048112,3,240,1789,0,3033668405
1,0,0.05,10000,2499,45670570,17,19208,85,0,121472822
5,3,0.1,1000000,249999,62189194,3,232,10519,0,1121205
9,3,0.1,100000,99999,65508650,3,216,18629,0,409256
3,3,0.05,100000,24999,65041815,2,216,7702,0,4404597
0,3,0.1,100000,24999,61683669,3,216,18629,0,372010
1,3,0.2,100000,12499,62188101,2,200,16939,0,1826804
2,3,0.05,1000000,124999,65393221,3,240,8946,0,3776562248
3,3,0.2,1000000,499999,61794924,4,224,17931,0,3262102350
7,3,0.1,100000,49999,63099129,3,216,18629,0,390633
6,3,0.1,100000,24999,65394750,3,216,18629,0,372010
4,3,0.05,1000000,124999,64025228,3,240,8946,0,3776562248
7,3,0.1,100000,24999,62708504,1,216,18629,0,372010
7,3,0.1,1000000,166666,64566046,2,232,10519,0,1121205
7,3,0.01,100000,12499,63127574,3,216,2105,0,724711403
7,0,0.01,10000,2499,60361768,19,37856,17,0,1649755162
0,3,0.2,1000000,166666,66333583,3,224,17931,0,3262084419
5,3,0.05,1000000,124999,65416661,3,240,8946,0,3776562248
7,3,0.1,100000,99999,64795694,3,216,18629,0,409256
4,3,0.01,100000,16666,64065057,3,216,2105,0,3781457879
3,3,0.01,100000,24999,65279783,2,216,2105,0,3781457879
1,3,0.05,10000,2499,63045260,3,192,12780,0,1150838887
8,0,0.05,10000,4999,49559141,27,19208,85,0,3023121966
5,3,0.2,1000000,499999,67341804,3,224,17931,0,3262102350
1,3,0.01,100000,99999,71511963,2,216,2105,0,1305028857
7,3,0.01,10000,2499,65625969,2,192,2281,0,3418138
2,3,0.05,100000,49999,67898520,3,216,7702,0,4412297
6,0,0.01,10000,4999,65801415,26,37856,17,0,379416033
2,3,0.05,1000000,499999,69421700,3,240,8946,0,3776580134
8,3,0.1,100000,24999,68015407,3,216,18629,0,372010
1,3,0.1,1000000,999999,70275059,2,232,10519,0,1142239
8,3,0.2,100000,12499,66910370,2,200,16939,0,1826804
8,3,0.1,1000000,124999,70533377,3,232,10519,0,421880554
9,3,0.01,100000,99999,72477552,3,216,2105,0,1305028857
2,3,0.05,1000000,249999,74497608,3,240,8946,0,3776571191
9,3,0.2,1000000,124999,70710375,3,224,17931,0,3262066488
0,3,0.2,100000,24999,68626550,3,200,16939,0,1843741
7,3,0.05,100000,16666,72275061,3,216,7702,0,4404597
4,0,0.05,10000,1666,52926615,9,19208,85,0,2201437574
0,3,0.2,100000,49999,71666015,2,200,16939,0,1860678
9,0,0.2,10000,2499,52600721,7,16328,343,0,379502619
3,3,0.1,100000,16666,70611795,4,216,18629,0,372010
9,0,0.1,10000,9999,54039729,30,16616,171,0,2097193400
6,0,0.01,10000,1666,67607195,14,37856,17,0,718823673
9,3,0.01,100000,12499,72763649,3,216,2105,0,724711403
1,3,0.2,100000,49999,77865586,3,200,16939,0,1860678
7,0,0.05,10000,2499,55280285,16,19208,85,0,121472822
3,3,0.1,100000,49999,74848085,3,216,18629,0,390633
7,3,0.2,100000,49999,76432413,3,200,16939,0,1860678
5,3,0.1,100000,12499,74081457,4,216,18629,0,353387
8,3,0.1,10000,9999,79444961,2,192,20046,0,801888958
7,3,0.2,1000000,999999,75534696,3,224,17931,0,3262120281
3,3,0.1,10000,1666,74810106,3,192,20046,0,2706773160
3,0,0.2,10000,9999,58682748,21,16328,343,0,1972269403
6,0,0.2,10000,4999,56411115,11,16328,343,0,1556275943
7,3,0.2,1000000,124999,84854950,3,224,17931,0,3262066488
2,3,0.01,1000000,499999,80504282,3,240,1789,0,3033671981
1,3,0.01,100000,24999,79035124,3,216,2105,0,3781457879
2,0,0.05,10000,4999,63420705,25,19208,85,0,3023121966
1,0,0.01,10000,4999,76661159,34,37856,17,0,379416033
0,0,0.01,10000,4999,80422099,25,37856,17,0,379416033
9,0,0.2,10000,1666,62793134,6,16328,343,0,3155662182
5,0,0.05,10000,1249,61969177,12,19208,85,0,373701658
0,0,0.01,10000,9999,75068545,31,37856,17,0,2779732145
8,3,0.01,100000,12499,81051917,2,216,2105,0,724711403
4,0,0.1,10000,4999,59758381,11,16616,171,0,1671145458
6,3,0.05,100000,24999,82680731,2,216,7702,0,4404597
5,0,0.1,10000,2499,59213116,8,16616,171,0,999913583
9,3,0.01,10000,1666,86009518,2,192,2281,0,3415858
6,3,0.2,100000,16666,83829224,2,200,16939,0,1843741
4,3,0.1,100000,24999,83405452,4,216,18629,0,372010
1,3,0.01,1000000,124999,91805888,2,240,1789,0,3033668405
8,3,0.2,100000,16666,80750494,2,200,16939,0,1843741
8,3,0.01,10000,2499,82950192,3,192,2281,0,3418138
4,0,0.1,10000,9999,60442190,19,16616,171,0,2097193400
3,3,0.05,10000,4999,80821607,3,192,12780,0,4279646536
