id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
2,7,0.01,100000,24999,17707451,6,13880,1699,0,215826547
8,5,0.01,10000,9999,3823815,3,2696,1399,0,1355015278
5,6,0.2,1000000,124999,2054788,3,1248,99,0,337059294
4,4,0.2,1000000,249999,1228629,3,544,99,0,1442924211
8,6,0.1,100000,16666,2963286,3,1984,169,0,3385797241
4,5,0.05,10000,1666,1893385,3,1152,279,0,2422983941
8,5,0.01,100000,49999,4380287,4,3008,1699,0,2420557026
8,6,0.01,1000000,166666,19617336,8,16232,1999,0,2431716628
0,4,0.01,10000,9999,4149915,4,2616,1399,0,4264793198
6,7,0.1,10000,9999,2336171,3,1328,139,0,4251841505
3,3,0.01,10000,2499,831807,3,160,1405,0,4293781133
3,7,0.1,100000,16666,2436687,3,1440,169,0,2658927813
2,3,0.01,1000000,166666,915879,3,208,2004,0,4294115248
1,6,0.05,1000000,999999,5980417,4,4424,399,0,3088701587
2,3,0.2,10000,1249,810143,2,144,73,0,4288113703
8,3,0.05,100000,12499,892283,3,184,345,0,4286727848
7,4,0.05,10000,9999,1822941,3,1008,279,0,2245384550
1,3,0.01,10000,4999,892556,3,160,1405,0,4293783688
1,5,0.05,100000,49999,2658145,4,1392,339,0,3430302775
9,6,0.1,1000000,249999,3427345,3,2296,199,0,4215196991
8,3,0.2,10000,1249,806254,3,144,73,0,4288113703
4,7,0.01,1000000,166666,19371399,8,15544,1999,0,4075046211
9,6,0.05,1000000,499999,5907597,4,4424,399,0,3506843781
3,6,0.1,10000,1249,3110135,3,1872,139,0,2975839917
9,3,0.2,1000000,499999,910391,3,192,102,0,4294173932
0,7,0.01,10000,1249,9997272,4,8864,1399,0,1575027526
8,5,0.2,10000,1249,1168210,2,464,69,0,3890545297
3,6,0.05,10000,1666,4503142,13,3216,279,0,4105425308
6,0,0.1,100000,12499,1575772,5,8712,169,0,1662130438
2,7,0.1,100000,12499,2500181,3,1440,169,0,2658859038
3,3,0.01,10000,1666,917509,3,160,1405,0,4293778578
6,7,0.05,1000000,499999,4678262,3,3304,399,0,2868762945
0,4,0.05,100000,12499,1740894,3,992,339,0,4051387046
1,0,0.01,10000,2499,895612,10,31856,1399,0,1605624851
4,3,0.1,10000,1249,851680,3,160,144,0,4294262983
0,6,0.05,10000,1249,4575226,3,3216,279,0,3684527448
6,7,0.01,1000000,124999,19498307,7,15544,1999,0,4061198875
5,6,0.1,1000000,124999,3403289,4,2296,199,0,4215169763
8,4,0.2,1000000,249999,1230147,3,544,99,0,1442924211
9,4,0.01,100000,12499,4155545,3,2752,1699,0,2135510547
7,3,0.2,1000000,499999,900193,2,192,102,0,4294173932
0,6,0.1,10000,2499,3115635,3,1872,139,0,524737610
0,5,0.2,10000,9999,1163727,3,464,69,0,3573963763
7,0,0.05,1000000,124999,4440711,5,5408,399,0,1015928717
0,4,0.2,1000000,124999,1239234,3,544,99,0,2053285643
1,0,0.1,10000,2499,694678,5,7504,139,0,2701762652
9,3,0.01,1000000,124999,922451,3,208,2004,0,4294113460
7,4,0.05,100000,24999,1704682,2,992,339,0,4051397743
7,5,0.05,100000,16666,2656400,4,1392,339,0,3430291729
6,0,0.1,1000000,249999,19686874,11,16944,199,0,2789505219
6,7,0.2,100000,12499,1305064,3,632,84,0,4272491168
3,0,0.1,100000,16666,1544700,5,8712,169,0,1662150308
5,5,0.05,10000,1249,1909339,3,1152,279,0,2422983941
1,0,0.2,1000000,166666,10405578,6,9128,99,0,687875003
3,0,0.05,10000,9999,767952,9,13832,279,0,3072960245
7,4,0.1,1000000,166666,1902269,3,912,199,0,2229221711
9,6,0.01,100000,12499,20814251,8,15872,1699,0,3094242755
3,3,0.1,100000,12499,868813,2,184,173,0,4292852234
2,3,0.1,1000000,124999,907463,2,192,203,0,4275775649
0,6,0.1,10000,9999,3139305,4,1872,139,0,525292411
4,6,0.2,10000,4999,2271285,3,1296,69,0,3418608965
9,3,0.2,10000,1666,809039,2,144,73,0,4288113703
4,5,0.2,100000,99999,1258541,3,552,84,0,1747626933
6,0,0.05,1000000,999999,4498907,4,5408,399,0,977181671
0,5,0.01,10000,4999,3808769,3,2696,1399,0,1355008738
1,5,0.2,10000,1249,1200986,3,464,69,0,3890545297
5,5,0.05,1000000,999999,2668290,3,1496,399,0,224380564
8,4,0.05,10000,2499,1827447,3,1008,279,0,2245350207
0,6,0.2,10000,9999,2261177,3,1296,69,0,1265923330
4,3,0.1,1000000,249999,916689,2,192,203,0,4274717437
1,0,0.05,10000,1666,754238,7,13832,279,0,3072940488
8,7,0.01,10000,1666,9962127,5,8864,1399,0,1575096375
4,4,0.1,1000000,499999,1879358,3,912,199,0,2229239635
3,6,0.2,1000000,999999,2042756,3,1248,99,0,227547350
0,0,0.2,1000000,166666,10422355,7,9128,99,0,687875003
6,0,0.2,10000,1666,631087,3,952,69,0,2448019279
9,6,0.01,1000000,249999,19971709,8,16232,1999,0,2431705607
0,4,0.1,10000,9999,1528453,3,648,139,0,4184261314
0,7,0.1,100000,12499,2440201,4,1440,169,0,2658859038
9,6,0.2,10000,2499,2245002,3,1296,69,0,2224943365
8,4,0.1,100000,99999,1871529,3,880,169,0,38301217
6,3,0.2,1000000,166666,898202,3,192,102,0,4294138160
7,7,0.05,1000000,249999,4551451,3,3304,399,0,2524442500
0,3,0.05,100000,49999,886344,3,184,345,0,4285378478
1,4,0.01,10000,1666,4158808,3,2616,1399,0,4264767667
5,0,0.2,100000,16666,721812,3,1168,84,0,640028957
8,4,0.05,1000000,166666,1778861,3,1040,399,0,3238306693
3,0,0.1,10000,1249,697927,5,7504,139,0,2701759895
5,4,0.1,100000,99999,1858916,3,880,169,0,38301217
6,0,0.1,100000,16666,1559601,6,8712,169,0,1662150308
5,3,0.01,10000,1249,835096,2,160,1405,0,4293778578
3,6,0.05,100000,24999,5898075,4,4080,339,0,2464533917
9,3,0.05,1000000,249999,909841,2,208,404,0,4287243515
2,3,0.01,10000,9999,833705,2,160,1405,0,4293786243
5,3,0.1,10000,9999,850508,4,160,144,0,4294339639
4,5,0.05,100000,24999,2666491,4,1392,339,0,3430291729
8,4,0.01,1000000,999999,3393420,4,2536,1999,0,2898080587
2,7,0.05,100000,12499,3488276,4,2536,339,0,1656299083
8,5,0.1,100000,12499,2251146,3,1056,169,0,534635501
4,3,0.05,10000,9999,815511,2,144,285,0,4292654860
8,0,0.2,1000000,124999,10245524,6,9128,99,0,687794764
7,3,0.05,1000000,999999,902407,3,208,404,0,4286486306
2,5,0.2,100000,99999,1243650,3,552,84,0,1747626933
6,0,0.2,1000000,249999,10333926,6,9128,99,0,688061724
7,7,0.01,10000,1249,10055734,4,8864,1399,0,1575027526
1,4,0.2,1000000,124999,1234745,2,544,99,0,2053285643
5,7,0.2,100000,24999,1302245,3,632,84,0,4072240365
5,6,0.01,100000,49999,20889178,9,15872,1699,0,94681333
7,5,0.05,1000000,249999,2620182,4,1496,399,0,224362644
6,7,0.1,100000,16666,2491512,4,1440,169,0,2658927813
3,4,0.1,1000000,124999,1941274,3,912,199,0,2229203661
6,3,0.1,100000,49999,886336,2,184,173,0,4292894318
0,7,0.05,10000,1666,2510205,3,1808,279,0,62015962
7,0,0.1,1000000,166666,19587602,10,16944,199,0,2789307669
1,6,0.01,1000000,166666,19919639,8,16232,1999,0,2431716628
1,6,0.05,10000,4999,4495917,3,3216,279,0,344985497
2,4,0.1,10000,9999,1539280,3,648,139,0,4184261314
0,6,0.05,100000,99999,5900574,4,4080,339,0,2464575296
8,6,0.2,100000,16666,2588005,2,1368,84,0,1903624183
2,0,0.01,10000,2499,890110,9,31856,1399,0,1605624851
5,4,0.1,1000000,249999,1894038,2,912,199,0,2229221711
5,6,0.1,1000000,166666,3388578,4,2296,199,0,4215196991
8,7,0.05,1000000,499999,4533575,4,3304,399,0,2868762945
1,0,0.1,1000000,124999,19594557,9,16944,199,0,2789225545
1,0,0.01,10000,1249,886174,8,31856,1399,0,1312709862
6,0,0.2,100000,16666,720336,2,1168,84,0,640028957
8,3,0.05,10000,4999,835053,2,144,285,0,4292642084
1,0,0.1,1000000,499999,19546092,12,16944,199,0,2790096728
0,5,0.1,100000,12499,2320633,3,1056,169,0,534635501
7,7,0.05,100000,16666,3459589,3,2536,339,0,3285785329
7,0,0.01,100000,99999,2533667,10,22080,1699,0,1494019501
1,7,0.2,10000,1666,1083027,3,472,69,0,4294941802
1,7,0.05,1000000,499999,4562209,4,3304,399,0,2868762945
8,5,0.1,10000,9999,1864823,3,856,139,0,279010273
7,0,0.1,10000,4999,698241,6,7504,139,0,2701768516
1,5,0.01,100000,49999,4385339,3,3008,1699,0,2420557026
2,4,0.01,1000000,249999,3380840,4,2536,1999,0,2095831981
8,7,0.01,10000,4999,9850326,6,8864,1399,0,662160284
8,4,0.2,1000000,124999,1231063,3,544,99,0,2053285643
9,4,0.1,100000,49999,1852989,3,880,169,0,38279870
3,4,0.05,10000,2499,1815185,3,1008,279,0,2245350207
4,7,0.01,100000,16666,17692249,6,13880,1699,0,137753061
6,4,0.1,1000000,166666,1889672,3,912,199,0,2229221711
7,3,0.2,100000,99999,868181,2,176,88,0,4231009164
5,4,0.01,10000,1666,4135101,3,2616,1399,0,4264767667
6,3,0.01,100000,12499,857264,3,184,1705,0,4290196238
8,4,0.01,10000,4999,4160117,3,2616,1399,0,4264787360
9,7,0.01,1000000,499999,19105961,8,15544,1999,0,3873118794
6,4,0.01,1000000,166666,3381239,3,2536,1999,0,2095831981
3,0,0.2,1000000,999999,10349505,7,9128,99,0,689724383
5,4,0.05,1000000,999999,1761504,3,1040,399,0,3230976123
2,7,0.1,10000,4999,2340436,4,1328,139,0,4089164140
6,5,0.2,10000,1249,1166419,2,464,69,0,3890545297
2,0,0.2,10000,9999,627702,3,952,69,0,2021211581
0,7,0.2,10000,9999,1080493,3,472,69,0,4277963977
2,7,0.05,10000,9999,2513179,3,1808,279,0,3383836993
