id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
6,6,0.2,100000,3023632,5171555,1235252,28177448,0,0,3522178,3522178
7,0,0.05,100000,27050,5466897,133602,2114328,0,0,84759,264288
1,5,0.1,100000,855922,5595194,797194,28617888,0,0,3577233,3577233
7,3,0.1,1000000,3216888,6031321,534518,28618392,0,0,3577296,3577296
4,6,0.1,100000,3522177,5706909,1025284,28177448,0,0,3522178,3522178
2,6,0.2,10000,3018440,5254528,945047,27125304,0,0,3390660,3390660
6,0,0.1,1000000,589780,5992291,986651,18716496,0,0,1441670,2339559
7,3,0.05,1000000,3395752,5954352,556019,28618392,0,0,3577296,3577296
0,0,0.05,10000,23636,5045699,61052,192152,0,0,24016,24016
0,5,0.05,10000,1987465,5588583,799699,28603320,0,0,3575412,3575412
8,0,0.05,100000,135233,5168446,114703,2114328,0,0,264288,264288
6,4,0.2,10000,2865683,5309622,870813,28602776,0,0,3575344,3575344
8,6,0.2,10000,3390659,5647543,880779,27125304,0,0,3390660,3390660
6,0,0.2,1000000,2225557,6742702,815295,18716496,0,0,2339559,2339559
3,5,0.01,1000000,1082143,6029261,698124,28618392,0,0,3577296,3577296
2,3,0.05,10000,3395752,5357886,451338,28618392,0,0,3577296,3577296
7,0,0.1,10000,17627,6316161,935,192152,0,0,24016,24016
5,5,0.05,10000,3575411,6099534,776192,28603320,0,0,3575412,3575412
7,0,0.1,100000,146757,5902122,64601,2114328,0,0,264288,264288
8,6,0.05,10000,3333095,5616963,927426,27125304,0,0,3390660,3390660
0,6,0.01,1000000,3551579,5337893,1054524,28412664,0,0,3551580,3551580
3,6,0.2,1000000,1463483,6374756,1191822,28412664,0,0,3551580,3551580
6,7,0.05,1000000,2775409,5590934,1027340,28248248,0,0,3531028,3531028
6,0,0.01,100000,133344,5570237,63910,2114328,0,0,264288,264288
1,0,0.1,100000,67102,5835854,124166,2114328,0,0,172430,264288
5,0,0.05,1000000,252671,5975746,783138,18716496,0,0,617095,2339559
9,3,0.01,1000000,3538840,5771701,454976,28618392,0,0,3577296,3577296
4,6,0.2,10000,3390659,5323932,734395,27125304,0,0,3390660,3390660
8,6,0.05,1000000,369889,6170187,1026779,28412664,0,0,3535014,3551580
3,5,0.01,100000,3577232,5760585,755903,28617888,0,0,3577233,3577233
6,4,0.05,10000,3575343,5383110,924071,28602776,0,0,3575344,3575344
2,0,0.01,1000000,579608,6213083,858514,18716496,0,0,1424504,2339559
0,6,0.05,100000,2591403,5553913,1018712,28177448,0,0,3522178,3522178
9,7,0.05,10000,1494483,5358925,644014,24744088,0,0,3093008,3093008
1,4,0.1,1000000,3577295,5373347,837496,28618392,0,0,3577296,3577296
0,3,0.05,1000000,3395752,5403117,423969,28618392,0,0,3577296,3577296
2,4,0.1,100000,3269213,5973109,950624,28617720,0,0,3577212,3577212
2,6,0.2,10000,1182085,5539408,1100485,27125304,0,0,3390660,3390660
9,5,0.1,10000,2749578,5078406,648783,28603320,0,0,3575412,3575412
6,0,0.05,100000,64643,5378209,124352,2114328,0,0,167931,264288
8,6,0.01,1000000,1140448,5683075,1001255,28412664,0,0,3551580,3551580
4,3,0.2,10000,2859158,5698384,566679,28618392,0,0,3577296,3577296
3,4,0.01,10000,1162893,5672363,1029094,28602776,0,0,3575344,3575344
