id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
1,3,0.01,1000000,3577295,6199034,714349,28618392,0,0,3577296,3577296
0,0,0.01,10000,18269,6986835,963,192152,0,0,24016,24016
1,0,0.05,1000000,1816880,6454233,786848,18716496,0,0,2339559,2339559
5,5,0.05,1000000,1987465,6126842,855270,28618392,0,0,3577296,3577296
5,4,0.01,100000,3577211,6885667,816130,28617720,0,0,3577212,3577212
0,5,0.1,1000000,2749578,6484256,887547,28618392,0,0,3577296,3577296
2,3,0.05,1000000,3395752,6163257,362890,28618392,0,0,3577296,3577296
6,5,0.05,100000,941344,6368412,804424,28617888,0,0,3577233,3577233
0,0,0.2,10000,22917,6723621,960,192152,0,0,24016,24016
4,3,0.2,1000000,2859158,6921953,573168,28618392,0,0,3577296,3577296
6,3,0.01,100000,3538840,6765570,530346,28618392,0,0,3577296,3577296
7,3,0.05,1000000,3395752,6414468,575046,28618392,0,0,3577296,3577296
4,5,0.2,10000,1215818,6328350,817210,28603320,0,0,3575412,3575412
8,7,0.05,100000,1009860,6563539,1129293,27368832,0,0,3421101,3421101
5,0,0.1,100000,67102,7536426,75977,2114328,0,0,172430,264288
5,4,0.2,1000000,2866659,6277299,838554,28618392,0,0,3577296,3577296
0,0,0.2,1000000,1005800,5528223,867055,18716496,0,0,2339559,2339559
3,0,0.2,1000000,1005800,6912646,1195254,18716496,0,0,2339559,2339559
7,3,0.1,1000000,3216888,6298057,474051,28618392,0,0,3577296,3577296
4,6,0.2,100000,1178761,6601173,1322744,28177448,0,0,3522178,3522178
7,3,0.05,1000000,3395752,6633103,494462,28618392,0,0,3577296,3577296
8,3,0.1,100000,3216888,6522011,540025,28618392,0,0,3577296,3577296
2,3,0.05,100000,3395752,6761844,575687,28618392,0,0,3577296,3577296
6,3,0.01,100000,3538840,6275887,488887,28618392,0,0,3577296,3577296
0,6,0.01,100000,1774780,5757168,1377378,28177448,0,0,3522178,3522178
0,6,0.01,10000,513223,6518103,1181575,27125304,0,0,3390660,3390660
6,6,0.01,1000000,3551579,6186809,1197074,28412664,0,0,3551580,3551580
6,3,0.2,100000,2859158,6235219,735158,28618392,0,0,3577296,3577296
3,0,0.05,1000000,1165994,6511955,999555,18716496,0,0,2339559,2339559
7,5,0.1,100000,1695850,7256244,929833,28617888,0,0,3577233,3577233
6,5,0.1,10000,3575411,6678508,903927,28603320,0,0,3575412,3575412
7,6,0.05,10000,2762264,6263388,1024568,27125304,0,0,3390660,3390660
1,0,0.01,100000,69760,6744150,134205,2114328,0,0,176653,264288
9,6,0.1,1000000,1954606,6356927,1265920,28412664,0,0,3551580,3551580
8,6,0.01,100000,1774780,7158880,1291427,28177448,0,0,3522178,3522178
4,7,0.2,10000,2628264,6636537,886709,24744088,0,0,3093008,3093008
2,6,0.01,100000,2671103,5894408,1263252,28177448,0,0,3522178,3522178
1,3,0.05,1000000,3395752,5618950,598572,28618392,0,0,3577296,3577296
8,4,0.2,10000,1677330,7224325,658808,28602776,0,0,3575344,3575344
6,4,0.01,1000000,1162873,7207337,858075,28618392,0,0,3577296,3577296
9,4,0.01,1000000,1860256,6499697,1242850,28618392,0,0,3577296,3577296
4,7,0.1,10000,871629,6610210,912654,24744088,0,0,3093008,3093008
7,5,0.2,1000000,1599628,6615134,982556,28618392,0,0,3577296,3577296
4,7,0.05,10000,2453694,6189034,982749,24744088,0,0,3093008,3093008
3,5,0.05,100000,3577232,6401923,1129045,28617888,0,0,3577233,3577233
1,4,0.01,1000000,2690337,6006309,895648,28618392,0,0,3577296,3577296
7,5,0.05,1000000,3577295,6568276,914577,28618392,0,0,3577296,3577296
2,0,0.2,1000000,2225557,7802685,1082471,18716496,0,0,2339559,2339559
6,5,0.05,1000000,1987465,6286124,833344,28618392,0,0,3577296,3577296
3,0,0.01,10000,24015,6608126,51009,192152,0,0,24016,24016
0,4,0.2,1000000,2866659,6496587,1068664,28618392,0,0,3577296,3577296
9,0,0.1,1000000,2050374,6810105,833508,18716496,0,0,2339559,2339559
4,6,0.2,100000,3023632,6287618,1077415,28177448,0,0,3522178,3522178
9,4,0.1,1000000,3577295,6660933,1043392,28618392,0,0,3577296,3577296
2,3,0.1,100000,3577295,6612666,512019,28618392,0,0,3577296,3577296
1,0,0.01,10000,5977,7156119,940,192152,0,0,14218,24016
6,7,0.1,1000000,3392804,6868796,1237771,28248248,0,0,3531028,3531028
5,6,0.1,10000,857685,6443156,1179410,27125304,0,0,3390660,3390660
5,0,0.2,1000000,1005800,6564331,929686,18716496,0,0,2339559,2339559
4,5,0.01,10000,2712332,6823001,926898,28603320,0,0,3575412,3575412
6,5,0.05,1000000,3577295,6672820,919183,28618392,0,0,3577296,3577296
2,7,0.1,100000,2016445,6057205,1034014,27368832,0,0,3421101,3421101
7,7,0.1,1000000,1405920,6969438,1116259,28248248,0,0,3531028,3531028
4,7,0.01,10000,1149864,6475977,733150,24744088,0,0,3093008,3093008
1,4,0.01,100000,2690337,6634242,642140,28617720,0,0,3577212,3577212
7,0,0.05,100000,212034,6712800,63744,2114328,0,0,264288,264288
1,5,0.2,10000,2946016,6659182,866172,28603320,0,0,3575412,3575412
0,0,0.01,1000000,1766293,6808812,745202,18716496,0,0,2339559,2339559
9,3,0.05,10000,3577295,6257242,611684,28618392,0,0,3577296,3577296
8,0,0.01,10000,24015,6790041,41266,192152,0,0,24016,24016
3,5,0.1,100000,855922,6296124,858451,28617888,0,0,3577233,3577233
1,4,0.1,10000,973741,6797579,756133,28602776,0,0,3575344,3575344
6,4,0.01,1000000,3577295,6032780,849600,28618392,0,0,3577296,3577296
2,3,0.01,1000000,3538840,7112160,471373,28618392,0,0,3577296,3577296
5,0,0.1,100000,264287,7346305,164318,2114328,0,0,264288,264288
3,7,0.1,1000000,1891099,7057739,1185851,28248248,0,0,3531028,3531028
3,6,0.2,100000,3023632,6931779,1186472,28177448,0,0,3522178,3522178
8,3,0.2,100000,3577295,6368849,451564,28618392,0,0,3577296,3577296
2,5,0.05,100000,1987465,5928350,825228,28617888,0,0,3577233,3577233
4,0,0.1,1000000,1304823,6606783,1055180,18716496,0,0,2339559,2339559
5,7,0.2,10000,3093007,6593975,1007154,24744088,0,0,3093008,3093008
8,4,0.05,10000,1020025,6076669,853393,28602776,0,0,3575344,3575344
1,6,0.2,10000,1182085,7834900,940227,27125304,0,0,3390660,3390660
0,5,0.1,10000,1694747,6676255,801161,28603320,0,0,3575412,3575412
2,0,0.05,10000,6334,6260620,947,192152,0,0,15072,24016
6,4,0.2,1000000,1677330,6574879,775476,28618392,0,0,3577296,3577296
6,7,0.1,10000,3093007,6311382,649887,24744088,0,0,3093008,3093008
4,4,0.01,1000000,712605,6297457,846675,28618392,0,0,3577296,3577296
4,0,0.1,100000,67102,6840201,73711,2114328,0,0,172430,264288
5,3,0.01,10000,3577295,6461144,447102,28618392,0,0,3577296,3577296
3,7,0.05,1000000,2775409,6874799,1268807,28248248,0,0,3531028,3531028
8,5,0.2,100000,3577232,6958829,973690,28617888,0,0,3577233,3577233
0,6,0.2,1000000,3551579,6092097,1043891,28412664,0,0,3551580,3551580
7,6,0.2,1000000,1463483,6237039,1480422,28412664,0,0,3551580,3551580
5,4,0.05,10000,1020025,6537484,1138835,28602776,0,0,3575344,3575344
8,5,0.05,10000,941468,6537978,1111089,28603320,0,0,3575412,3575412
6,4,0.1,10000,1918598,6075637,772095,28602776,0,0,3575344,3575344
6,5,0.01,1000000,1832153,6266706,763671,28618392,0,0,3577296,3577296
0,4,0.05,100000,1832094,5843338,737548,28617720,0,0,3577212,3577212
5,4,0.05,1000000,3493284,5310147,730638,28618392,0,0,3577296,3577296
5,6,0.01,1000000,511613,6590146,1069905,28412664,0,0,3539501,3551580
5,3,0.05,10000,3395752,6178886,474581,28618392,0,0,3577296,3577296
7,3,0.2,1000000,2859158,5167958,383121,28618392,0,0,3577296,3577296
0,3,0.2,10000,2859158,6381244,629065,28618392,0,0,3577296,3577296
5,3,0.01,1000000,3538840,6780009,568499,28618392,0,0,3577296,3577296
5,3,0.2,100000,2859158,6363559,496711,28618392,0,0,3577296,3577296
0,5,0.01,10000,2712332,7209307,870072,28603320,0,0,3575412,3575412
9,3,0.2,10000,2859158,6657669,507269,28618392,0,0,3577296,3577296
2,7,0.05,1000000,3444127,6508697,1249755,28248248,0,0,3531028,3531028
1,5,0.1,10000,1694747,6573734,1035884,28603320,0,0,3575412,3575412
5,7,0.2,100000,2953678,6170605,1140775,27368832,0,0,3421101,3421101
4,3,0.01,100000,3538840,6412943,567989,28618392,0,0,3577296,3577296
0,7,0.01,10000,3093007,6576223,996942,24744088,0,0,3093008,3093008
4,6,0.05,10000,2762264,7320567,1389304,27125304,0,0,3390660,3390660
0,3,0.1,10000,3216888,6056658,527427,28618392,0,0,3577296,3577296
3,7,0.01,100000,3421100,6193107,1012269,27368832,0,0,3421101,3421101
9,0,0.1,100000,146757,6308646,84010,2114328,0,0,264288,264288
1,4,0.2,10000,1677330,6779100,702539,28602776,0,0,3575344,3575344
3,3,0.05,100000,3395752,6496536,602780,28618392,0,0,3577296,3577296
1,3,0.2,10000,2859158,6286903,594864,28618392,0,0,3577296,3577296
8,4,0.05,10000,2778730,6287640,893426,28602776,0,0,3575344,3575344
4,3,0.05,10000,3395752,6170193,600695,28618392,0,0,3577296,3577296
2,0,0.1,100000,67102,6736824,114195,2114328,0,0,172430,264288
8,7,0.1,100000,838694,7007421,1249126,27368832,0,0,3421101,3421101
9,6,0.2,100000,3522177,7313516,1320877,28177448,0,0,3522178,3522178
1,3,0.1,1000000,3216888,6977149,485944,28618392,0,0,3577296,3577296
6,3,0.1,10000,3216888,5598096,596715,28618392,0,0,3577296,3577296
6,0,0.1,100000,67102,7047033,223598,2114328,0,0,172430,264288
4,5,0.01,100000,1832154,5646487,935209,28617888,0,0,3577233,3577233
6,3,0.1,1000000,3577295,5358114,544732,28618392,0,0,3577296,3577296
0,3,0.2,1000000,3577295,6322781,495792,28618392,0,0,3577296,3577296
0,0,0.1,1000000,2050374,6058477,980147,18716496,0,0,2339559,2339559
5,4,0.1,1000000,3577295,6612691,977419,28618392,0,0,3577296,3577296
4,6,0.1,10000,2101131,6774204,857873,27125304,0,0,3390660,3390660
1,7,0.2,10000,1666939,5512596,821172,24744088,0,0,3093008,3093008
0,0,0.1,100000,264287,5713671,63494,2114328,0,0,264288,264288
8,5,0.2,10000,2946016,6405058,813746,28603320,0,0,3575412,3575412
5,4,0.2,1000000,1677330,6628252,876524,28618392,0,0,3577296,3577296
9,4,0.2,10000,1677330,6641282,922210,28602776,0,0,3575344,3575344
5,0,0.2,100000,112228,6895317,65197,2114328,0,0,264288,264288
4,7,0.01,10000,1149864,6472235,859369,24744088,0,0,3093008,3093008
0,3,0.05,10000,3395752,5290859,372469,28618392,0,0,3577296,3577296
9,3,0.01,1000000,3577295,5699619,416492,28618392,0,0,3577296,3577296
5,5,0.2,1000000,2714523,5811448,834758,28618392,0,0,3577296,3577296
9,4,0.05,1000000,3493284,6096114,877109,28618392,0,0,3577296,3577296
9,3,0.2,100000,2859158,5573008,412167,28618392,0,0,3577296,3577296
2,3,0.1,10000,3216888,7033463,396715,28618392,0,0,3577296,3577296
1,5,0.05,100000,941344,6997232,941226,28617888,0,0,3577233,3577233
8,3,0.1,100000,3216888,6266340,340144,28618392,0,0,3577296,3577296
0,3,0.1,10000,3216888,6940674,575309,28618392,0,0,3577296,3577296
0,6,0.2,1000000,2437296,6526613,1089718,28412664,0,0,3551580,3551580
3,4,0.2,1000000,3577295,6358631,935994,28618392,0,0,3577296,3577296
9,6,0.01,1000000,1815992,6450450,1212796,28412664,0,0,3551580,3551580
8,0,0.01,1000000,65491,6574759,1078242,18716496,0,0,169583,2339559
6,6,0.01,10000,2581989,5829409,1019607,27125304,0,0,3390660,3390660
8,4,0.2,10000,3575343,6142296,941963,28602776,0,0,3575344,3575344
9,0,0.1,1000000,589780,7424078,987242,18716496,0,0,1441670,2339559
8,4,0.2,10000,1677330,5565095,959147,28602776,0,0,3575344,3575344
9,4,0.05,100000,3493242,5782727,879754,28617720,0,0,3577212,3577212
5,6,0.2,10000,3390659,6291560,1145208,27125304,0,0,3390660,3390660
7,5,0.2,100000,1072953,5925707,980503,28617888,0,0,3577233,3577233
9,6,0.05,1000000,1027876,6603452,1456880,28412664,0,0,3551580,3551580
9,4,0.05,100000,1019962,6284177,897325,28617720,0,0,3577212,3577212
5,4,0.01,1000000,1162873,6533417,730407,28618392,0,0,3577296,3577296
6,4,0.01,10000,1162893,5959363,841776,28602776,0,0,3575344,3575344
5,4,0.2,1000000,1677330,6434738,848664,28618392,0,0,3577296,3577296
9,0,0.01,10000,12319,6769119,1052,192152,0,0,24016,24016
3,0,0.01,100000,133344,6563684,144223,2114328,0,0,264288,264288
4,6,0.2,100000,3522177,6042720,1172029,28177448,0,0,3522178,3522178
7,3,0.2,1000000,2859158,6171502,355488,28618392,0,0,3577296,3577296
4,7,0.01,10000,3093007,6366673,1003945,24744088,0,0,3093008,3093008
6,5,0.2,1000000,1599628,6543631,809903,28618392,0,0,3577296,3577296
8,7,0.05,10000,1494483,6279661,728421,24744088,0,0,3093008,3093008
0,6,0.05,100000,373852,6235245,1169586,28177448,0,0,3522178,3522178
8,6,0.1,100000,1898209,6678773,1079062,28177448,0,0,3522178,3522178
8,7,0.05,1000000,1004199,5789370,1054612,28248248,0,0,3531028,3531028
5,4,0.05,1000000,1019924,5875512,751683,28618392,0,0,3577296,3577296
0,7,0.01,100000,3421100,6234679,843418,27368832,0,0,3421101,3421101
1,7,0.05,1000000,2775409,5992091,863605,28248248,0,0,3531028,3531028
4,6,0.01,1000000,3551579,7264115,1184122,28412664,0,0,3551580,3551580
0,3,0.1,1000000,3216888,6096000,544952,28618392,0,0,3577296,3577296
3,5,0.1,100000,1695850,6679999,964887,28617888,0,0,3577233,3577233
6,6,0.05,1000000,369889,6509372,1090470,28412664,0,0,3535014,3551580
4,5,0.1,100000,855922,6392023,948549,28617888,0,0,3577233,3577233
0,5,0.1,10000,855920,6147098,853672,28603320,0,0,3575412,3575412
3,3,0.2,10000,2859158,5466062,547583,28618392,0,0,3577296,3577296
1,4,0.1,100000,396192,5705552,1109124,28617720,0,0,3577212,3577212
1,4,0.05,100000,569746,6180816,962218,28617720,0,0,3577212,3577212
1,5,0.05,100000,2970122,5682736,909054,28617888,0,0,3577233,3577233
1,0,0.2,1000000,1005800,6214844,807191,18716496,0,0,2339559,2339559
7,5,0.01,100000,3577232,7010087,991946,28617888,0,0,3577233,3577233
4,4,0.1,10000,396349,6317167,841357,28602776,0,0,3575344,3575344
7,0,0.1,1000000,1304823,6024061,887775,18716496,0,0,2339559,2339559
8,0,0.01,10000,12319,5851244,1396,192152,0,0,24016,24016
5,3,0.1,100000,3577295,5678331,533743,28618392,0,0,3577296,3577296
1,0,0.05,10000,6334,5324299,951,192152,0,0,15072,24016
2,3,0.1,10000,3216888,5772820,448702,28618392,0,0,3577296,3577296
3,4,0.05,10000,1020025,6805766,807889,28602776,0,0,3575344,3575344
6,7,0.05,1000000,1004199,6343674,753422,28248248,0,0,3531028,3531028
3,6,0.1,100000,857476,5537108,1013517,28177448,0,0,3522178,3522178
4,6,0.1,1000000,857453,5934019,853953,28412664,0,0,3549079,3551580
2,5,0.2,100000,1072953,5399418,952179,28617888,0,0,3577233,3577233
7,7,0.05,10000,2453694,6522197,863442,24744088,0,0,3093008,3093008
2,6,0.05,1000000,2881517,5819827,1086138,28412664,0,0,3551580,3551580
7,5,0.2,10000,2946016,6084325,994503,28603320,0,0,3575412,3575412
1,7,0.2,1000000,1763586,6586417,1192125,28248248,0,0,3531028,3531028
0,7,0.2,100000,1833759,6101640,801169,27368832,0,0,3421101,3421101
4,6,0.05,100000,2591403,6771820,1155259,28177448,0,0,3522178,3522178
2,6,0.1,1000000,857453,5925216,752390,28412664,0,0,3549079,3551580
4,7,0.2,1000000,1763586,6197178,887749,28248248,0,0,3531028,3531028
9,6,0.1,100000,3174390,5609830,1049266,28177448,0,0,3522178,3522178
4,4,0.1,1000000,396185,6870662,661562,28618392,0,0,3577294,3577296
0,7,0.01,10000,1605542,5780922,819588,24744088,0,0,3093008,3093008
4,3,0.01,10000,3538840,5825777,454567,28618392,0,0,3577296,3577296
8,3,0.2,10000,2859158,5829793,516406,28618392,0,0,3577296,3577296
1,5,0.1,1000000,298452,6791585,827465,28618392,0,0,3577287,3577296
8,5,0.1,1000000,298452,5558865,951992,28618392,0,0,3577287,3577296
8,7,0.1,100000,3421100,7030696,1269980,27368832,0,0,3421101,3421101
5,6,0.2,1000000,1463483,6064736,1108466,28412664,0,0,3551580,3551580
4,3,0.1,1000000,3216888,6042875,630547,28618392,0,0,3577296,3577296
9,6,0.05,100000,373852,5576757,1217811,28177448,0,0,3522178,3522178
3,5,0.2,100000,1801350,6627083,917222,28617888,0,0,3577233,3577233
1,6,0.2,100000,3522177,6109426,1280363,28177448,0,0,3522178,3522178
2,5,0.1,10000,1694747,6403165,809663,28603320,0,0,3575412,3575412
1,6,0.2,100000,1178761,6539280,1388985,28177448,0,0,3522178,3522178
6,4,0.2,1000000,2866659,5823758,989257,28618392,0,0,3577296,3577296
5,4,0.2,10000,2865683,5803180,609903,28602776,0,0,3575344,3575344
3,3,0.2,100000,3577295,5590394,498175,28618392,0,0,3577296,3577296
7,7,0.1,100000,838694,5695560,1036557,27368832,0,0,3421101,3421101
4,0,0.05,100000,212034,6256269,114489,2114328,0,0,264288,264288
7,4,0.01,1000000,2690337,5985241,916945,28618392,0,0,3577296,3577296
0,7,0.05,100000,3358873,5591966,908169,27368832,0,0,3421101,3421101
6,4,0.2,10000,3575343,5529381,630546,28602776,0,0,3575344,3575344
8,3,0.05,1000000,3395752,6509484,457424,28618392,0,0,3577296,3577296
6,6,0.05,1000000,2881517,5744331,980074,28412664,0,0,3551580,3551580
5,4,0.05,10000,3575343,5301658,825828,28602776,0,0,3575344,3575344
5,7,0.2,100000,1833759,6325494,1039855,27368832,0,0,3421101,3421101
3,3,0.01,10000,3538840,6289497,709695,28618392,0,0,3577296,3577296
2,3,0.2,100000,3577295,6246221,474759,28618392,0,0,3577296,3577296
1,4,0.01,1000000,1162873,5861607,666041,28618392,0,0,3577296,3577296
5,6,0.2,1000000,2437296,6611351,1323780,28412664,0,0,3551580,3551580
6,0,0.05,100000,212034,6214774,63880,2114328,0,0,264288,264288
3,5,0.2,10000,2946016,6320622,757041,28603320,0,0,3575412,3575412
5,4,0.1,1000000,396185,6061694,897835,28618392,0,0,3577294,3577296
1,3,0.05,10000,3395752,4582130,362965,28618392,0,0,3577296,3577296
1,4,0.05,1000000,1019924,5932773,804915,28618392,0,0,3577296,3577296
5,3,0.01,10000,3538840,5802902,526507,28618392,0,0,3577296,3577296
4,3,0.2,1000000,3577295,5741616,438387,28618392,0,0,3577296,3577296
1,5,0.05,1000000,406161,6489538,791450,28618392,0,0,3577294,3577296
4,5,0.05,100000,2970122,5236054,865861,28617888,0,0,3577233,3577233
6,0,0.2,10000,22917,6302869,1189,192152,0,0,24016,24016
5,5,0.2,100000,1072953,6266702,854487,28617888,0,0,3577233,3577233
2,4,0.01,1000000,1162873,6597235,879662,28618392,0,0,3577296,3577296
8,5,0.05,1000000,1987465,5986888,874216,28618392,0,0,3577296,3577296
0,6,0.01,1000000,2671132,5444774,809277,28412664,0,0,3551580,3551580
4,7,0.01,100000,1146540,6085763,1005614,27368832,0,0,3421101,3421101
5,0,0.2,10000,22917,6088078,71001,192152,0,0,24016,24016
0,4,0.1,1000000,973741,6554327,804627,28618392,0,0,3577296,3577296
5,5,0.05,10000,406273,6078457,811248,28603320,0,0,3575412,3575412
7,4,0.1,1000000,396185,6013198,735439,28618392,0,0,3577294,3577296
0,4,0.05,1000000,2778730,5997274,832425,28618392,0,0,3577296,3577296
3,5,0.05,100000,1987465,4440530,888336,28617888,0,0,3577233,3577233
8,6,0.1,100000,857476,5007018,816997,28177448,0,0,3522178,3522178
3,3,0.1,100000,3216888,5970233,455760,28618392,0,0,3577296,3577296
4,6,0.05,10000,1027970,5753033,957772,27125304,0,0,3390660,3390660
4,7,0.1,1000000,828190,5174810,1127970,28248248,0,0,3524573,3531028
7,7,0.01,1000000,1145441,6538114,1135481,28248248,0,0,3531028,3531028
7,6,0.1,100000,1898209,6157618,1107542,28177448,0,0,3522178,3522178
0,7,0.1,10000,871629,5992595,879613,24744088,0,0,3093008,3093008
3,4,0.1,1000000,973741,5585601,776755,28618392,0,0,3577296,3577296
2,5,0.1,100000,2749578,6132649,881833,28617888,0,0,3577233,3577233
7,6,0.2,10000,3390659,5101164,891358,27125304,0,0,3390660,3390660
3,6,0.2,100000,1178761,6005705,919112,28177448,0,0,3522178,3522178
0,6,0.05,10000,3333095,6621303,990167,27125304,0,0,3390660,3390660
9,3,0.05,100000,3395752,5971214,342124,28618392,0,0,3577296,3577296
9,0,0.1,1000000,1304823,5660240,767075,18716496,0,0,2339559,2339559
4,6,0.01,1000000,2671132,6300130,1058294,28412664,0,0,3551580,3551580
3,3,0.05,10000,3395752,6290529,673627,28618392,0,0,3577296,3577296
8,4,0.1,10000,3268279,5999341,839871,28602776,0,0,3575344,3575344
9,3,0.05,1000000,3395752,6322062,462403,28618392,0,0,3577296,3577296
2,4,0.05,10000,1832068,5512351,767268,28602776,0,0,3575344,3575344
6,4,0.2,10000,1677330,5051911,915342,28602776,0,0,3575344,3575344
8,3,0.1,1000000,3216888,5419612,548518,28618392,0,0,3577296,3577296
9,5,0.2,10000,3575411,6689616,1011211,28603320,0,0,3575412,3575412
6,3,0.05,10000,3395752,5962773,443869,28618392,0,0,3577296,3577296
1,6,0.1,1000000,857453,4342538,1046652,28412664,0,0,3549079,3551580
2,3,0.01,100000,3538840,6012674,395341,28618392,0,0,3577296,3577296
3,3,0.2,100000,2859158,5503412,402952,28618392,0,0,3577296,3577296
7,0,0.2,1000000,1005800,5961499,845133,18716496,0,0,2339559,2339559
9,6,0.1,100000,857476,6164111,907343,28177448,0,0,3522178,3522178
7,3,0.2,1000000,2859158,5676230,411016,28618392,0,0,3577296,3577296
3,0,0.01,100000,69760,6326719,84501,2114328,0,0,176653,264288
1,7,0.2,10000,2628264,6069094,852046,24744088,0,0,3093008,3093008
1,4,0.1,1000000,396185,6318335,945539,28618392,0,0,3577294,3577296
7,5,0.2,10000,1215818,5290508,863506,28603320,0,0,3575412,3575412
3,6,0.2,10000,2068574,6271682,1039859,27125304,0,0,3390660,3390660
4,3,0.1,10000,3216888,5231483,431220,28618392,0,0,3577296,3577296
0,4,0.05,10000,3575343,4695504,912907,28602776,0,0,3575344,3575344
9,3,0.05,1000000,3395752,5951753,481175,28618392,0,0,3577296,3577296
8,3,0.2,1000000,2859158,5507300,391905,28618392,0,0,3577296,3577296
2,4,0.1,100000,396192,5809171,904099,28617720,0,0,3577212,3577212
0,6,0.05,100000,1779991,5681425,934921,28177448,0,0,3522178,3522178
1,4,0.1,1000000,1918598,6117954,813235,28618392,0,0,3577296,3577296
7,0,0.1,100000,67102,4778348,75141,2114328,0,0,172430,264288
9,7,0.05,100000,2736083,5093764,1041317,27368832,0,0,3421101,3421101
4,3,0.01,1000000,3538840,6035740,662074,28618392,0,0,3577296,3577296
0,7,0.2,1000000,2938482,5554151,1048772,28248248,0,0,3531028,3531028
4,5,0.1,100000,1695850,6716862,861100,28617888,0,0,3577233,3577233
8,6,0.05,10000,1659173,5792989,1021538,27125304,0,0,3390660,3390660
3,3,0.05,100000,3395752,5083832,465892,28618392,0,0,3577296,3577296
3,3,0.2,10000,3577295,5020570,411116,28618392,0,0,3577296,3577296
0,4,0.05,1000000,3493284,5347722,831117,28618392,0,0,3577296,3577296
1,5,0.1,10000,855920,6183249,1297764,28603320,0,0,3575412,3575412
4,4,0.2,1000000,2866659,5211449,864946,28618392,0,0,3577296,3577296
6,4,0.05,1000000,569741,5628697,851055,28618392,0,0,3577296,3577296
8,3,0.05,100000,3395752,5946066,446178,28618392,0,0,3577296,3577296
8,6,0.01,1000000,1815992,5671773,1189656,28412664,0,0,3551580,3551580
4,7,0.05,1000000,2775409,6024994,1031868,28248248,0,0,3531028,3531028
3,0,0.05,1000000,1816880,4764553,723769,18716496,0,0,2339559,2339559
5,3,0.1,1000000,3216888,6048736,316746,28618392,0,0,3577296,3577296
6,4,0.1,100000,3269213,5683734,796922,28617720,0,0,3577212,3577212
2,3,0.2,100000,2859158,5840681,443042,28618392,0,0,3577296,3577296
3,5,0.05,10000,941468,5525150,832775,28603320,0,0,3575412,3575412
7,4,0.1,10000,3575343,5212311,976590,28602776,0,0,3575344,3575344
6,7,0.2,10000,3093007,5978230,745769,24744088,0,0,3093008,3093008
4,0,0.01,10000,5977,5387748,190971,192152,0,0,14218,24016
5,7,0.1,10000,871629,6197242,826364,24744088,0,0,3093008,3093008
1,0,0.01,100000,264287,5795560,103344,2114328,0,0,264288,264288
0,4,0.1,100000,973741,4825091,656048,28617720,0,0,3577212,3577212
2,6,0.01,10000,3390659,5186662,734007,27125304,0,0,3390660,3390660
8,4,0.1,10000,973741,5860353,745118,28602776,0,0,3575344,3575344
4,4,0.01,100000,1860257,4885272,591357,28617720,0,0,3577212,3577212
8,5,0.05,100000,2970122,5330446,861476,28617888,0,0,3577233,3577233
3,5,0.05,1000000,1987465,5277464,655867,28618392,0,0,3577296,3577296
1,3,0.05,10000,3395752,5066813,468726,28618392,0,0,3577296,3577296
0,0,0.1,100000,232327,4873822,63674,2114328,0,0,264288,264288
6,7,0.05,100000,1870227,6063864,972129,27368832,0,0,3421101,3421101
5,6,0.05,10000,381288,5878262,982552,27125304,0,0,3390660,3390660
4,6,0.2,1000000,1463483,5312522,1145694,28412664,0,0,3551580,3551580
2,4,0.1,1000000,1918598,4588566,675333,28618392,0,0,3577296,3577296
4,3,0.01,100000,3538840,6253422,463635,28618392,0,0,3577296,3577296
5,5,0.01,100000,3577232,5756416,936706,28617888,0,0,3577233,3577233
8,5,0.1,1000000,3577295,5621853,741736,28618392,0,0,3577296,3577296
7,5,0.01,10000,2712332,6538202,1023086,28603320,0,0,3575412,3575412
0,0,0.05,1000000,1816880,5822319,849631,18716496,0,0,2339559,2339559
9,7,0.1,1000000,828190,5403894,927864,28248248,0,0,3524573,3531028
5,5,0.2,100000,3577232,5263586,774470,28617888,0,0,3577233,3577233
6,6,0.05,100000,2591403,5357084,1015117,28177448,0,0,3522178,3522178
8,0,0.01,1000000,2339558,6270982,984993,18716496,0,0,2339559,2339559
7,5,0.1,1000000,855923,5764949,845318,28618392,0,0,3577296,3577296
3,0,0.2,10000,22917,5876811,957,192152,0,0,24016,24016
6,0,0.2,10000,22917,6258171,61096,192152,0,0,24016,24016
9,5,0.1,10000,855920,5990619,766872,28603320,0,0,3575412,3575412
1,0,0.01,1000000,1766293,6199020,933486,18716496,0,0,2339559,2339559
9,3,0.2,1000000,2859158,5869445,351587,28618392,0,0,3577296,3577296
9,6,0.01,1000000,1140448,6035753,1115513,28412664,0,0,3551580,3551580
5,7,0.2,1000000,1763586,5995435,1287774,28248248,0,0,3531028,3531028
2,4,0.2,10000,2865683,6198299,1015009,28602776,0,0,3575344,3575344
5,7,0.05,10000,1026150,5844467,965730,24744088,0,0,3093008,3093008
0,0,0.2,100000,198719,5976908,61648,2114328,0,0,264288,264288
6,3,0.01,100000,3577295,5805852,421784,28618392,0,0,3577296,3577296
6,5,0.2,1000000,1599628,6028571,740522,28618392,0,0,3577296,3577296
1,6,0.01,100000,511890,5457391,1259040,28177448,0,0,3522178,3522178
2,5,0.05,10000,3575411,6118149,802116,28603320,0,0,3575412,3575412
5,0,0.1,100000,67102,6435741,133513,2114328,0,0,172430,264288
