id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,weight
9,6,0.1,10000,4999,5042791,986248,27125304,0,0,3227578,3390660
6,5,0.1,10000,2499,5621260,704293,28603320,0,0,3564911,3575412
1,3,0.05,100000,24999,5520584,422193,28618392,0,0,3577296,3577296
6,7,0.1,10000,9999,4337971,730147,24744088,0,0,3092953,3093008
6,5,0.2,10000,4999,5407214,681884,28603320,0,0,3571916,3575412
4,5,0.1,1000000,999999,6534595,1155752,28618392,0,0,3577296,3577296
7,7,0.1,100000,16666,5502079,945093,27368832,0,0,3203628,3421101
0,7,0.05,1000000,999999,6345428,931863,28248248,0,0,3531028,3531028
0,6,0.05,1000000,124999,6639503,1429805,28412664,0,0,3524788,3551580
8,5,0.01,10000,9999,5199695,736724,28603320,0,0,3575410,3575412
8,5,0.1,10000,1666,6892264,1175463,28603320,0,0,3556388,3575412
2,0,0.2,1000000,166666,5331326,784575,18716496,0,0,406042,2339559
1,3,0.01,10000,4999,4391247,433665,28618392,0,0,3577296,3577296
4,5,0.05,10000,1666,5020501,727810,28603320,0,0,3556388,3575412
4,4,0.2,1000000,249999,5151928,803658,28618392,0,0,3577292,3577296
8,5,0.01,100000,49999,5038561,744238,28617888,0,0,3577025,3577233
0,4,0.01,10000,9999,4977843,733554,28602776,0,0,3575342,3575344
1,6,0.05,1000000,999999,4348775,1015102,28412664,0,0,3551580,3551580
3,3,0.01,10000,2499,5204501,468527,28618392,0,0,3577296,3577296
5,6,0.2,1000000,124999,5258209,1016559,28412664,0,0,3524788,3551580
1,4,0.05,1000000,166666,6668230,1055091,28618392,0,0,3577276,3577296
8,3,0.2,10000,1249,4875401,386106,28618392,0,0,3577296,3577296
2,3,0.2,10000,1249,5417655,439240,28618392,0,0,3577296,3577296
8,3,0.05,100000,12499,5376255,456035,28618392,0,0,3577296,3577296
1,7,0.01,100000,24999,6969421,1372474,27368832,0,0,3273316,3421101
9,3,0.2,1000000,499999,5044300,380289,28618392,0,0,3577296,3577296
3,6,0.01,10000,1249,7004020,1359186,27125304,0,0,2454402,3390660
9,4,0.05,100000,16666,6802835,1051924,28617720,0,0,3576197,3577212
3,7,0.1,100000,16666,5586053,1008768,27368832,0,0,3203628,3421101
8,6,0.01,1000000,166666,6010028,992751,28412664,0,0,3527618,3551580
0,7,0.01,10000,1249,5086573,687944,24744088,0,0,2332892,3093008
1,5,0.05,100000,49999,5526416,894994,28617888,0,0,3577025,3577233
6,0,0.1,100000,12499,5692723,63380,2114328,0,0,29808,264288
4,7,0.01,1000000,166666,5382571,937816,28248248,0,0,3452916,3531028
9,6,0.1,1000000,249999,5387852,1056301,28412664,0,0,3531027,3551580
3,6,0.05,10000,1666,5249793,745462,27125304,0,0,2647545,3390660
0,6,0.05,10000,1249,4831624,785977,27125304,0,0,2454402,3390660
1,0,0.01,10000,2499,5930365,870,192152,0,0,5916,24016
8,5,0.2,10000,1249,5669722,717547,28603320,0,0,3547772,3575412
9,6,0.05,1000000,499999,5669444,1045655,28412664,0,0,3539237,3551580
3,6,0.1,10000,1249,5747915,972887,27125304,0,0,2454402,3390660
5,6,0.05,10000,1249,7101932,1494681,27125304,0,0,2454402,3390660
0,4,0.05,100000,12499,5421649,704846,28617720,0,0,3575751,3577212
4,3,0.1,10000,1249,5530153,498034,28618392,0,0,3577296,3577296
8,6,0.1,100000,16666,6963131,1321167,28177448,0,0,3452021,3522178
9,3,0.01,1000000,124999,4805929,397893,28618392,0,0,3577296,3577296
1,0,0.1,10000,2499,5301743,1037,192152,0,0,5916,24016
3,3,0.01,10000,1666,5974384,510714,28618392,0,0,3577296,3577296
6,7,0.05,1000000,499999,5524129,945810,28248248,0,0,3505738,3531028
3,0,0.1,100000,16666,4907721,113399,2114328,0,0,50808,264288
7,3,0.2,1000000,499999,5434433,415355,28618392,0,0,3577296,3577296
2,3,0.01,1000000,166666,7160605,674915,28618392,0,0,3577296,3577296
9,4,0.01,100000,12499,5262549,677488,28617720,0,0,3575751,3577212
6,7,0.01,1000000,124999,5531170,985556,28248248,0,0,3435561,3531028
7,4,0.05,10000,9999,6886464,1035750,28602776,0,0,3575342,3575344
0,4,0.2,1000000,124999,5285335,765249,28618392,0,0,3577251,3577296
7,4,0.05,100000,24999,5125407,705790,28617720,0,0,3576577,3577212
7,0,0.05,1000000,124999,5178123,1062656,18716496,0,0,315016,2339559
6,0,0.1,1000000,249999,5246500,788572,18716496,0,0,611407,2339559
2,3,0.1,1000000,124999,4931880,436301,28618392,0,0,3577296,3577296
9,3,0.2,10000,1666,4901095,287664,28618392,0,0,3577296,3577296
5,5,0.05,10000,1249,5276787,760223,28603320,0,0,3547772,3575412
0,5,0.2,10000,9999,5935981,903716,28603320,0,0,3575410,3575412
6,7,0.2,100000,12499,5204896,1234127,27368832,0,0,3150124,3421101
4,3,0.1,1000000,249999,4617880,389755,28618392,0,0,3577296,3577296
0,5,0.01,10000,4999,4745712,637092,28603320,0,0,3571916,3575412
7,4,0.1,1000000,166666,5365604,988250,28618392,0,0,3577276,3577296
0,6,0.1,10000,2499,6216639,1242726,27125304,0,0,2899338,3390660
8,4,0.2,1000000,249999,6715019,1115694,28618392,0,0,3577292,3577296
5,5,0.05,1000000,999999,5062438,688762,28618392,0,0,3577296,3577296
7,5,0.05,100000,16666,6130280,1062245,28617888,0,0,3576277,3577233
0,6,0.2,10000,9999,4708503,909658,27125304,0,0,3390637,3390660
1,0,0.05,10000,1666,5467790,960,192152,0,0,3957,24016
0,6,0.1,10000,9999,5516848,1009926,27125304,0,0,3390637,3390660
2,7,0.1,100000,12499,7527733,1285385,27368832,0,0,3150124,3421101
3,0,0.05,10000,9999,7113305,969,192152,0,0,24013,24016
6,0,0.05,1000000,999999,5582408,869529,18716496,0,0,2339557,2339559
8,4,0.05,10000,2499,5328791,782072,28602776,0,0,3566981,3575344
8,4,0.1,100000,99999,4658509,795604,28617720,0,0,3577212,3577212
4,4,0.1,1000000,499999,5315580,758576,28618392,0,0,3577296,3577296
1,5,0.2,10000,1249,5734667,980965,28603320,0,0,3547772,3575412
