id,target,epsilon,delta,tempo_inicio,tempo_fim,memoria,prediction
0,0,0,0,Sun Jul 25 03:24:16 -03 2021,Sun Jul 25 03:24:20 -03 2021,1529671
1,1,0,0,Sun Jul 25 03:24:21 -03 2021,Sun Jul 25 03:24:22 -03 2021,140
2,2,0,0,Sun Jul 25 03:24:23 -03 2021,Sun Jul 25 03:24:24 -03 2021,174
3,3,0,0,Sun Jul 25 03:24:25 -03 2021,Sun Jul 25 03:24:25 -03 2021,3
4,4,0,0,Sun Jul 25 03:24:26 -03 2021,Sun Jul 25 03:24:27 -03 2021,8530
5,5,0,0,Sun Jul 25 03:24:28 -03 2021,Sun Jul 25 03:24:29 -03 2021,8905
6,6,0,0,Sun Jul 25 03:24:30 -03 2021,Sun Jul 25 03:24:31 -03 2021,104568
7,7,0,0,Sun Jul 25 03:24:32 -03 2021,Sun Jul 25 03:24:34 -03 2021,223087
8,8,0,0,Sun Jul 25 03:24:35 -03 2021,Sun Jul 25 03:24:36 -03 2021,2
