id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,rank
5,5,0.05,10000,1.0,741057,1,840,451213,23,10000,3575411
8,6,0.2,10000,1.0,627772,1,168,56,22,10000,3390659
0,0,0.01,10000,1.0,618860,1,1872,13613,23,10000,24015
7,0,0.05,100000,0.0,625513,1,2064,125529,23,7131,27050
6,4,0.2,10000,0.75,618132,1,144,58,22,9,2865683
8,6,0.05,10000,1.0,701310,1,1344,295231,23,6028,3333095
8,6,0.05,1000000,0.0,681807,1,504,213470,23,0,369889
7,0,0.1,10000,0.75,612980,1,240,13290,23,6586,17627
6,7,0.05,1000000,0.75,837871,0,1704,832354,23,3130,2775409
0,6,0.01,1000000,1.0,1671188,1,4968,1133679,23,999896,3551579
5,0,0.05,1000000,0.0,751786,1,408,1241820,23,70935,252671
2,0,0.01,1000000,0.25,994198,1,2472,1318592,23,232489,579608
7,0,0.1,100000,0.5,622438,1,984,122827,23,43137,146757
2,3,0.05,10000,0.0,1976940,2,4200,3219150,23,6,3395752
0,0,0.05,10000,1.0,617791,0,432,13317,23,9691,23636
8,0,0.05,100000,0.5,627813,0,2064,125529,23,42000,135233
3,5,0.01,100000,1.0,2831073,1,10200,1836870,23,99513,3577232
0,6,0.05,100000,0.75,690802,0,480,234314,23,1490,2591403
2,4,0.1,100000,0.75,634779,1,648,46973,23,22,3269213
9,3,0.01,1000000,0.0,7027400,2,19272,3504348,23,6,3538840
6,4,0.05,10000,1.0,749729,1,984,523495,23,10000,3575343
1,0,0.1,100000,0.25,622469,1,984,122827,23,16780,67102
4,6,0.2,10000,1.0,627220,1,168,56,22,10000,3390659
2,6,0.2,10000,0.25,623794,0,168,56,22,12,1182085
6,0,0.01,100000,0.5,659869,0,2760,136081,23,44247,133344
8,6,0.01,1000000,0.25,1667146,1,4968,1133679,23,12,1140448
1,4,0.1,1000000,1.0,631297,0,624,46957,23,453190,3577295
9,7,0.05,10000,0.5,854659,1,1848,880485,23,12,1494483
7,6,0.05,10000,0.25,702027,1,1344,295231,23,12,1027970
3,4,0.01,10000,0.25,2921074,1,10752,1902000,23,2,1162893
3,4,0.05,100000,0.75,752994,1,984,521997,23,15,2778730
9,5,0.1,1000000,0.0,631235,1,840,16343,23,0,298452
0,3,0.05,1000000,0.75,1987382,1,4200,3219150,23,6,3395752
2,7,0.01,100000,0.75,2041997,1,8544,1372657,23,2461,2586291
4,3,0.2,10000,0.0,895358,1,1080,2152038,23,6,2859158
5,7,0.2,1000000,0.25,624006,1,144,6642,23,6,1763586
8,6,0.05,10000,0.75,701221,0,1344,295231,23,1664,2762264
9,5,0.1,10000,0.75,623663,0,240,17673,23,13,2749578
5,5,0.01,10000,0.5,2828563,1,9840,1836189,23,5,1832172
1,4,0.2,1000000,0.5,616573,1,144,50,22,3,1677330
9,0,0.2,1000000,0.25,646976,1,168,1224979,23,304094,1005800
5,7,0.05,10000,0.75,852700,1,1848,880485,23,1184,2453694
9,0,0.05,10000,1.0,615894,1,432,13317,23,9691,23636
5,5,0.2,1000000,0.25,624620,1,168,261,23,2,1599628
6,0,0.05,100000,0.25,627689,1,2064,125529,23,17305,64643
9,0,0.2,100000,1.0,613661,1,456,122135,23,96240,259904
8,3,0.1,100000,0.75,1267939,1,2112,2861767,23,6,3216888
7,5,0.1,10000,0.25,628795,1,240,17673,23,1,855920
4,5,0.1,10000,0.75,632520,0,240,17673,23,13,2749578
0,4,0.2,10000,0.25,637763,1,144,58,22,3,1677330
7,3,0.01,1000000,0.25,7040385,2,19272,3504348,23,6,3538840
1,7,0.1,1000000,1.0,710014,1,768,478743,23,22220,3392804
7,0,0.2,10000,1.0,614501,1,168,13283,23,9128,22917
2,0,0.01,10000,0.0,619758,1,1872,13613,23,127,536
6,3,0.01,100000,0.75,7048250,2,19272,3504348,23,6,3538840
3,7,0.2,100000,0.5,625833,0,216,9352,23,6,1833759
1,4,0.2,10000,0.75,620029,1,144,58,22,9,2865683
6,6,0.1,10000,0.25,636104,1,216,20351,23,6,857685
7,0,0.05,100000,0.5,627451,1,2064,125529,23,42000,135233
6,5,0.1,100000,1.0,635085,0,240,16402,23,99513,3577232
9,6,0.2,10000,1.0,628424,1,168,56,22,10000,3390659
3,5,0.2,1000000,0.0,616451,1,168,261,23,2,1599628
0,7,0.01,1000000,0.0,2053279,2,8112,1375496,23,0,1145441
5,4,0.01,100000,0.75,2988379,2,10200,1895435,23,15,2690337
6,6,0.01,1000000,0.0,1681988,1,4968,1133679,23,0,511613
5,5,0.05,1000000,0.25,738033,0,840,458984,23,1,941345
1,5,0.1,10000,0.0,630472,1,240,17673,23,1,855920
6,5,0.01,1000000,0.75,2855660,1,10320,1835851,23,16,2712332
9,5,0.1,100000,0.25,632554,2,240,16402,23,1,855922
9,3,0.01,100000,1.0,7058111,2,19272,3504348,23,17,3577295
3,7,0.2,1000000,0.5,625625,1,144,6642,23,6,1763586
1,6,0.01,10000,0.75,1708624,1,5328,1142414,23,1466,2581989
7,7,0.2,10000,1.0,628635,1,144,53989,23,10000,3093007
8,0,0.1,1000000,0.5,667397,1,264,1230864,23,478216,1304823
0,7,0.1,100000,0.25,706824,1,768,499182,23,1,988087
4,4,0.01,1000000,0.75,2917048,2,10752,1895217,23,15,2690337
1,6,0.2,10000,0.5,621923,1,168,56,22,126,2068574
4,0,0.01,10000,1.0,618636,1,1872,13613,23,10000,24015
3,4,0.05,1000000,0.25,753900,1,960,520169,23,2,1019924
8,6,0.1,10000,0.0,630802,1,216,20351,23,6,857685
